episode,return,length,timesteps
0,-43.93130874633789,276,276
1,-87.89623260498047,1659,1935
2,-0.021040599793195724,112,2047
3,-0.04437904804944992,104,2151
4,-0.016264477744698524,113,2264
5,-5.429084777832031,578,2842
6,-0.017348473891615868,147,2989
7,-0.01674915850162506,184,3173
8,-0.042951300740242004,160,3333
9,-0.01992976851761341,116,3449
10,-0.014968711882829666,150,3599
11,-14.216257095336914,870,4469
12,-0.02460496500134468,96,4565
13,-0.021039098501205444,66,4631
14,-0.017633536830544472,105,4736
15,-0.043042123317718506,80,4816
16,-0.043128952383995056,88,4904
17,-0.013509413227438927,110,5014
18,-0.017678463831543922,102,5116
19,-20.3779296875,1076,6192
20,-8.940878868103027,577,6769
21,-0.02241605520248413,102,6871
22,-0.044675152748823166,159,7030
23,-0.01758461445569992,92,7122
24,-0.04338579252362251,121,7243
25,-0.011317277327179909,191,7434
26,-0.04177354648709297,73,7507
27,-0.043381910771131516,70,7577
28,-0.04397675767540932,122,7699
29,-0.010256629437208176,136,7835
30,-17.16802215576172,1031,8866
31,-0.02044695056974888,93,8959
32,-0.04382719472050667,90,9049
33,-0.04381824657320976,110,9159
34,-0.043488938361406326,60,9219
35,-24.06511688232422,1189,10408
36,-0.020757336169481277,86,10494
37,-0.03209691122174263,100,10594
38,-16.697742462158203,939,11533
39,-0.04376085102558136,151,11684
40,-0.004628822207450867,145,11829
41,-0.042901329696178436,69,11898
42,-23.32715606689453,1107,13005
43,-0.043029267340898514,116,13121
44,-0.0098472461104393,210,13331
45,-0.04266369342803955,65,13396
46,-0.043694570660591125,120,13516
47,-0.01901872642338276,65,13581
48,-0.02274683117866516,67,13648
49,-0.021458646282553673,64,13712
50,-0.04254506155848503,77,13789
51,0.00877378135919571,185,13974
52,-21.388376235961914,1104,15078
53,-0.014953242614865303,104,15182
54,-0.019197635352611542,77,15259
55,-0.04241660609841347,69,15328
56,-0.014876967296004295,202,15530
57,-0.0333632193505764,72,15602
58,-0.009383995085954666,126,15728
59,-0.03409678488969803,90,15818
60,-0.024584367871284485,70,15888
61,-0.04359158128499985,161,16049
62,-0.042225662618875504,76,16125
63,-0.0428973026573658,101,16226
64,-0.04331289604306221,160,16386
65,-0.04263707622885704,84,16470
66,0.0008924044668674469,166,16636
67,-0.02108505181968212,73,16709
68,-0.04141076281666756,63,16772
69,-0.04257935285568237,76,16848
70,-0.04251109063625336,72,16920
71,-0.020587459206581116,69,16989
72,-0.02096162736415863,59,17048
73,-0.01880662329494953,57,17105
74,-0.020217062905430794,49,17154
75,-3.402796506881714,519,17673
76,-0.03675394877791405,56,17729
77,-0.016194995492696762,92,17821
78,-0.043301764875650406,160,17981
79,-0.043007634580135345,96,18077
80,-0.020648183301091194,43,18120
81,-0.016777362674474716,67,18187
82,-0.013155516237020493,85,18272
83,-0.04272361472249031,69,18341
84,-0.0446331612765789,342,18683
85,-0.04256514459848404,52,18735
86,-0.01989535056054592,72,18807
87,-0.019798018038272858,55,18862
88,-0.021235845983028412,67,18929
89,-0.043059736490249634,78,19007
90,-0.02383233606815338,66,19073
91,-0.021534500643610954,62,19135
92,-0.042873021215200424,71,19206
93,-0.04230507090687752,76,19282
94,-0.043203774839639664,80,19362
95,-0.03696891665458679,87,19449
96,-0.0198941882699728,93,19542
97,-14.544865608215332,798,20340
98,-0.019056471064686775,88,20428
99,-10.527504920959473,801,21229
100,-0.04302895441651344,63,21292
101,-0.04308624565601349,63,21355
102,-0.04308407008647919,115,21470
103,-0.04075157642364502,98,21568
104,-0.043305475264787674,68,21636
105,-0.02597655914723873,94,21730
106,-0.020566094666719437,138,21868
107,-0.02136637270450592,56,21924
108,-0.045176561921834946,214,22138
109,-0.01563388481736183,210,22348
110,-22.776573181152344,1114,23462
111,-0.037431903183460236,64,23526
112,-0.01965140365064144,69,23595
113,-0.03496786952018738,55,23650
114,-13.033188819885254,848,24498
115,-0.02136959694325924,49,24547
116,-0.024066345766186714,53,24600
117,-0.02169039100408554,60,24660
118,-0.02135215699672699,100,24760
119,-0.02157221920788288,59,24819
120,-0.013364508748054504,97,24916
121,-0.04388241842389107,118,25034
122,-16.647245407104492,883,25917
123,-0.0243807565420866,66,25983
124,-0.047910455614328384,307,26290
125,-0.008465047925710678,155,26445
126,-15.49047565460205,971,27416
127,-0.043013133108615875,65,27481
128,-0.02192879281938076,128,27609
129,-0.04353439807891846,104,27713
130,-0.04305762052536011,62,27775
131,-0.04119971767067909,142,27917
132,-0.02005181647837162,93,28010
133,-0.048088960349559784,331,28341
134,-0.015556840226054192,124,28465
135,0.005554031580686569,187,28652
136,-0.04352755472064018,76,28728
137,-0.019124608486890793,73,28801
138,0.025703761726617813,278,29079
139,-0.021251169964671135,55,29134
140,0.0258881077170372,278,29412
141,-0.04361560195684433,85,29497
142,-14.772420883178711,769,30266
143,-0.04347025975584984,64,30330
144,0.04457410052418709,253,30583
145,-16.379159927368164,879,31462
146,-0.03490236774086952,59,31521
147,-0.004379246383905411,133,31654
148,-16.216442108154297,848,32502
149,-16.00278663635254,1343,33845
150,-0.008882928639650345,75,33920
151,-0.016483694314956665,114,34034
152,-0.013757465407252312,106,34140
153,-0.00180087611079216,119,34259
154,-0.0034153200685977936,124,34383
155,0.016968250274658203,256,34639
156,-0.04366978257894516,83,34722
157,-0.013055087998509407,105,34827
158,-19.699764251708984,1043,35870
159,-0.0431741438806057,64,35934
160,-17.16261100769043,1140,37074
161,-0.014529138803482056,86,37160
162,-12.416075706481934,849,38009
163,-0.01565128192305565,84,38093
164,-0.028738155961036682,104,38197
165,-0.018746305257081985,91,38288
166,-0.010968690738081932,132,38420
167,-0.0440753810107708,176,38596
168,-0.006400402635335922,106,38702
169,-0.0426260381937027,75,38777
170,-0.0021696947515010834,151,38928
171,-0.021675674244761467,59,38987
172,-0.04374157264828682,166,39153
173,-0.043368302285671234,69,39222
174,-6.942295551300049,508,39730
175,-0.04316876828670502,55,39785
176,-0.04374643415212631,96,39881
177,-0.02623414248228073,152,40033
178,-0.04429159685969353,116,40149
179,-0.04466375336050987,135,40284
180,-13.460846900939941,741,41025
181,-0.02103273943066597,59,41084
182,-0.012659836560487747,119,41203
183,-0.020039290189743042,89,41292
184,-0.030661094933748245,127,41419
185,-2.584130048751831,361,41780
186,-0.0161913949996233,104,41884
187,-0.02191225066781044,64,41948
188,-0.01702810823917389,88,42036
189,-0.04417023807764053,103,42139
190,-0.03025451861321926,105,42244
191,-0.029350414872169495,236,42480
192,-0.04457481950521469,110,42590
193,-0.04183313250541687,282,42872
194,-0.0005237981677055359,130,43002
195,0.11660104990005493,360,43362
196,-0.04413195326924324,103,43465
197,-0.01814788579940796,93,43558
198,0.14654013514518738,325,43883
199,-0.02156279981136322,63,43946
200,-14.056497573852539,781,44727
201,-20.543874740600586,994,45721
202,-13.700414657592773,729,46450
203,-0.037911657243967056,95,46545
204,-0.0009709857404232025,123,46668
205,-15.315897941589355,772,47440
206,-0.04422612488269806,100,47540
207,-0.04428497701883316,191,47731
208,-0.018114127218723297,359,48090
209,-0.04386373236775398,88,48178
210,-24.96266746520996,1201,49379
211,-0.020598266273736954,85,49464
212,0.11789732426404953,216,49680
213,-0.016352497041225433,128,49808
214,-18.455846786499023,946,50754
215,0.005829311907291412,217,50971
216,-0.019395586103200912,90,51061
217,-0.03058028779923916,155,51216
218,-10.456978797912598,727,51943
219,-0.034625038504600525,73,52016
220,-0.04342511668801308,86,52102
221,0.009846139699220657,134,52236
222,0.03495939075946808,172,52408
223,-0.044960349798202515,169,52577
224,-13.642843246459961,773,53350
225,-13.04079818725586,719,54069
226,-0.04398851841688156,109,54178
227,-13.297874450683594,727,54905
228,-0.024954063817858696,101,55006
229,-0.10858181118965149,298,55304
230,-18.232515335083008,939,56243
231,-16.703994750976562,880,57123
232,-0.04366661608219147,106,57229
233,0.007615931332111359,150,57379
234,-0.007860198616981506,126,57505
235,-8.74383544921875,541,58046
236,-0.018128221854567528,257,58303
237,-0.043908845633268356,130,58433
238,-11.184879302978516,677,59110
239,-0.04665076732635498,264,59374
240,-11.4607515335083,971,60345
241,-0.04389824718236923,82,60427
242,-17.287742614746094,904,61331
243,-9.953215599060059,662,61993
244,-0.009933307766914368,89,62082
245,-18.27275276184082,1000,63082
246,-11.676854133605957,806,63888
247,0.051008258014917374,255,64143
248,-1.1925686597824097,304,64447
249,-5.325284957885742,517,64964
250,-13.71547794342041,845,65809
251,-12.90541934967041,676,66485
252,-0.03703707084059715,100,66585
253,-0.02079620771110058,105,66690
254,0.027216166257858276,257,66947
255,-0.061191149055957794,257,67204
256,-0.04744774475693703,381,67585
257,-0.016959454864263535,91,67676
258,-0.017656605690717697,88,67764
259,-0.016290908679366112,458,68222
260,-0.04431610926985741,103,68325
261,-4.211496353149414,586,68911
262,-0.04395928978919983,68,68979
263,-0.015280049294233322,159,69138
264,-0.007070343941450119,178,69316
265,-0.044347040355205536,97,69413
266,-0.04398022219538689,79,69492
267,-25.766830444335938,1314,70806
268,-0.04194588586688042,98,70904
269,-0.04774949327111244,199,71103
270,-16.395328521728516,947,72050
271,-0.022680407389998436,59,72109
272,-0.0047918036580085754,98,72207
273,-21.307525634765625,1216,73423
274,-0.044664040207862854,146,73569
275,-0.024679863825440407,268,73837
276,-0.04351775720715523,61,73898
277,-0.043887920677661896,94,73992
278,-0.01941455528140068,81,74073
279,-0.021511459723114967,75,74148
280,-0.02199011854827404,70,74218
281,-0.044228848069906235,94,74312
282,-86.67778778076172,3833,78145
283,0.009130887687206268,268,78413
284,-0.03502875939011574,107,78520
285,-0.018427500501275063,87,78607
286,0.036620210856199265,142,78749
287,-16.285993576049805,971,79720
288,-0.012574326246976852,194,79914
289,-51.712913513183594,2476,82390
290,-20.567317962646484,1091,83481
291,-13.306209564208984,735,84216
292,-13.849145889282227,795,85011
293,-22.837505340576172,1196,86207
294,-12.230648040771484,699,86906
295,-0.021255478262901306,64,86970
296,-0.04240476340055466,66,87036
297,-12.148199081420898,673,87709
298,-0.02125004678964615,63,87772
299,0.07078838348388672,233,88005
300,-0.020766546949744225,73,88078
301,-0.040358494967222214,54,88132
302,-8.161896705627441,701,88833
303,-0.043174177408218384,108,88941
304,-0.022226883098483086,63,89004
305,-0.042250897735357285,49,89053
306,-0.04310730844736099,109,89162
307,-0.043041031807661057,95,89257
308,-0.020964816212654114,69,89326
309,-0.025991011410951614,70,89396
310,-0.018956005573272705,82,89478
311,-0.018619012087583542,137,89615
312,-17.00771713256836,967,90582
313,-24.282949447631836,1155,91737
314,-1.3310999870300293,292,92029
315,0.010699238628149033,190,92219
316,-0.0007362551987171173,112,92331
317,-0.023281337693333626,67,92398
318,-12.380563735961914,681,93079
319,-13.071199417114258,714,93793
320,-0.010394737124443054,101,93894
321,-0.04303035885095596,78,93972
322,-0.04246927425265312,62,94034
323,-0.021053198724985123,58,94092
324,0.0012593530118465424,109,94201
325,-0.04259231314063072,70,94271
326,-0.01350623182952404,81,94352
327,-0.04263138398528099,156,94508
328,-0.020101984962821007,84,94592
329,-0.042591556906700134,72,94664
330,-17.577287673950195,1037,95701
331,-0.04495130106806755,166,95867
332,-0.04244646802544594,61,95928
333,-0.04277056083083153,176,96104
334,0.1382266730070114,186,96290
335,-15.810653686523438,822,97112
336,-11.0988187789917,706,97818
337,0.018056727945804596,179,97997
338,-0.043974868953228,143,98140
339,-12.72596549987793,741,98881
340,-0.023387379944324493,59,98940
341,-5.182706356048584,540,99480
342,-0.017791200429201126,80,99560
343,-0.020510386675596237,75,99635
344,-0.04283798113465309,152,99787
345,-0.04368528723716736,116,99903
346,-0.044950712472200394,169,100072
347,-0.012229057028889656,117,100189
348,-0.04278643801808357,72,100261
349,-0.042492207139730453,57,100318
350,-0.04263990744948387,74,100392
351,-11.610015869140625,690,101082
352,-10.003244400024414,635,101717
353,-0.04267161339521408,79,101796
354,-0.004601046442985535,106,101902
355,-0.021197831258177757,54,101956
356,0.13694079220294952,205,102161
357,-17.723379135131836,1085,103246
358,-0.02129668928682804,77,103323
359,-0.02124335989356041,52,103375
360,-0.020112089812755585,164,103539
361,-0.04269566759467125,71,103610
362,-0.021729428321123123,124,103734
363,-0.04261849448084831,64,103798
364,-0.04281754419207573,60,103858
365,-0.042759690433740616,63,103921
366,-0.042851388454437256,81,104002
367,-0.042905788868665695,74,104076
368,-0.020283373072743416,69,104145
369,-9.039689064025879,688,104833
370,-0.021134018898010254,65,104898
371,-0.007426328957080841,72,104970
372,-10.458890914916992,710,105680
373,-0.04244222119450569,55,105735
374,-0.03137047961354256,85,105820
375,-0.03663773089647293,60,105880
376,-0.008500151336193085,91,105971
377,-0.04280297830700874,76,106047
378,-0.04285391420125961,89,106136
379,-0.020827073603868484,62,106198
380,-0.041269976645708084,68,106266
381,-0.020359762012958527,80,106346
382,-0.04297563433647156,78,106424
383,-0.021052220836281776,54,106478
384,-0.04269041121006012,69,106547
385,-0.021070685237646103,63,106610
386,-0.042899418622255325,72,106682
387,-0.02085922472178936,62,106744
388,-0.04253993183374405,68,106812
389,-0.04269580543041229,58,106870
390,-0.014235831797122955,89,106959
391,-0.021343369036912918,78,107037
392,-0.038087859749794006,58,107095
393,-0.042630843818187714,72,107167
394,-0.01886489801108837,67,107234
395,-0.04249615594744682,55,107289
396,-0.04258726164698601,57,107346
397,-0.04292019084095955,96,107442
398,-0.03872033953666687,107,107549
399,0.004025150090456009,132,107681
400,-0.04282629117369652,77,107758
401,-0.037336159497499466,70,107828
402,-0.011905079707503319,67,107895
403,-0.04295996204018593,82,107977
404,-0.019941894337534904,59,108036
405,-0.04312427341938019,117,108153
406,-0.04305270314216614,97,108250
407,-0.04312436282634735,89,108339
408,-0.042699769139289856,63,108402
409,-0.01868467591702938,62,108464
410,-0.020704075694084167,57,108521
411,-0.0021966397762298584,91,108612
412,-0.04266851395368576,64,108676
413,-0.021462729200720787,83,108759
414,-0.043276913464069366,99,108858
415,-0.021099800243973732,45,108903
416,-0.039747629314661026,74,108977
417,-0.04334336146712303,90,109067
418,-0.0085081085562706,70,109137
419,-0.028459899127483368,58,109195
420,-0.04265137389302254,56,109251
421,-0.04265819117426872,61,109312
422,-0.04305822029709816,85,109397
423,-0.02060605213046074,58,109455
424,-0.04306891933083534,86,109541
425,-0.020454399287700653,47,109588
426,-0.019786251708865166,76,109664
427,0.013682935386896133,297,109961
428,-0.020032476633787155,72,110033
429,-0.01184934563934803,72,110105
430,-50.429588317871094,2268,112373
431,-0.01181318610906601,65,112438
432,-0.04285715892910957,87,112525
433,-0.02080257050693035,51,112576
434,-0.020698469132184982,51,112627
435,-0.042837902903556824,102,112729
436,-0.013285961002111435,77,112806
437,-0.025413058698177338,59,112865
438,-0.013883043080568314,69,112934
439,-0.04226231947541237,51,112985
440,-0.042476873844861984,68,113053
441,-0.018460368737578392,55,113108
442,-0.01978583261370659,48,113156
443,-0.014704536646604538,67,113223
444,-0.018290849402546883,53,113276
445,-0.020565036684274673,56,113332
446,-0.020926527678966522,57,113389
447,-0.006358042359352112,85,113474
448,-0.019816791638731956,58,113532
449,-0.019213711842894554,52,113584
450,-0.7920935153961182,253,113837
451,-0.013874763622879982,78,113915
452,-0.02052341215312481,63,113978
453,-0.04245179519057274,64,114042
454,-0.04272093623876572,88,114130
455,-0.04286641627550125,116,114246
456,-0.020287906751036644,55,114301
457,-0.042579419910907745,65,114366
458,-0.021102750673890114,65,114431
459,-0.009857427328824997,76,114507
460,-0.0429290346801281,93,114600
461,-0.04286710545420647,102,114702
462,-0.042839307337999344,87,114789
463,-0.037786610424518585,76,114865
464,-0.0424077995121479,110,114975
465,-0.042561426758766174,65,115040
466,-0.04250257462263107,111,115151
467,-0.04205971583724022,115,115266
468,-0.04253040626645088,69,115335
469,-0.01996593177318573,48,115383
470,-0.04240242764353752,59,115442
471,-0.01855774037539959,61,115503
472,-0.04231292009353638,77,115580
473,-0.042601507157087326,93,115673
474,-0.042815227061510086,83,115756
475,-0.042426783591508865,62,115818
476,-0.020343158394098282,59,115877
477,-0.01857667788863182,94,115971
478,-0.01786758005619049,61,116032
479,-0.0018844977021217346,87,116119
480,-0.042317770421504974,51,116170
481,-0.01987268589437008,64,116234
482,0.0011440105736255646,78,116312
483,-0.009115640074014664,77,116389
484,-0.020365215837955475,76,116465
485,-0.019993383437395096,62,116527
486,-0.023158933967351913,111,116638
487,-0.02532191574573517,141,116779
488,-0.02050449326634407,70,116849
489,-13.746482849121094,786,117635
490,-0.021431121975183487,82,117717
491,-0.04302895814180374,109,117826
492,-0.04306855797767639,114,117940
493,-0.009379524737596512,97,118037
494,0.006931278854608536,81,118118
495,-0.04260319471359253,70,118188
496,-0.022593969479203224,85,118273
497,-0.04227995499968529,51,118324
498,-0.020818451419472694,48,118372
499,-0.0005467385053634644,92,118464
500,-0.0425049252808094,61,118525
501,-0.04244330897927284,53,118578
502,-0.042485311627388,62,118640
503,-0.017957255244255066,79,118719
504,-0.021271467208862305,57,118776
505,0.03473759815096855,145,118921
506,-0.030261661857366562,55,118976
507,-0.004070989787578583,84,119060
508,-0.019529400393366814,59,119119
509,-0.04251420125365257,54,119173
510,-0.010193552821874619,70,119243
511,-0.004056703299283981,78,119321
512,-0.020585235208272934,58,119379
513,-0.04266463592648506,73,119452
514,-0.02093234285712242,55,119507
515,-12.3659086227417,744,120251
516,0.03325612470507622,185,120436
517,-0.019584447145462036,59,120495
518,-0.0427255816757679,102,120597
519,-0.043489933013916016,159,120756
520,-0.012888504192233086,74,120830
521,-0.04254494234919548,69,120899
522,0.027993299067020416,125,121024
523,-0.025549814105033875,65,121089
524,-0.03400692343711853,141,121230
525,0.06884084641933441,161,121391
526,-0.04353628680109978,139,121530
527,-0.042718470096588135,64,121594
528,-0.042510345578193665,119,121713
529,0.04706742987036705,182,121895
530,-0.04258698970079422,55,121950
531,-0.012455353513360023,69,122019
532,-0.04289628192782402,91,122110
533,-0.005325227975845337,116,122226
534,-0.042714305222034454,66,122292
535,-0.042673420161008835,68,122360
536,-0.042789459228515625,83,122443
537,-0.020752906799316406,52,122495
538,-0.04335997253656387,94,122589
539,-0.037161312997341156,62,122651
540,0.016487129032611847,111,122762
541,-0.018533829599618912,58,122820
542,-0.014371832832694054,61,122881
543,-0.0424373522400856,47,122928
544,-0.04295261576771736,87,123015
545,-0.041387129575014114,77,123092
546,-0.042879797518253326,93,123185
547,-0.04267897456884384,63,123248
548,-0.042925503104925156,73,123321
549,-0.02130242809653282,82,123403
550,-0.017451005056500435,80,123483
551,-0.04259790852665901,67,123550
552,-0.01036778837442398,76,123626
553,-5.283998012542725,492,124118
554,-0.01994849555194378,68,124186
555,-0.01563030481338501,52,124238
556,-0.042607683688402176,60,124298
557,-0.04263269156217575,131,124429
558,-0.012419108301401138,92,124521
559,-0.0427740253508091,64,124585
560,-0.042648687958717346,70,124655
561,-0.020993150770664215,74,124729
562,-0.021101346239447594,49,124778
563,-0.04314985126256943,87,124865
564,-25.9108943939209,1350,126215
565,-0.03598525747656822,177,126392
566,-0.013078995048999786,64,126456
567,-0.04274722933769226,86,126542
568,-0.042722199112176895,63,126605
569,-0.01983269490301609,58,126663
570,-0.04255999997258186,55,126718
571,-0.0035868659615516663,73,126791
572,-0.0428667888045311,87,126878
573,-0.04280025511980057,75,126953
574,-0.04255782067775726,55,127008
575,-0.01044047623872757,119,127127
576,-0.021224884316325188,50,127177
577,-0.017008379101753235,58,127235
578,-0.014502806589007378,56,127291
579,-0.04303819686174393,90,127381
580,-0.019368231296539307,63,127444
581,-0.04262423515319824,57,127501
582,-0.026924263685941696,48,127549
583,-13.999723434448242,805,128354
584,-0.037043653428554535,312,128666
585,-0.02931090071797371,52,128718
586,-0.032671816647052765,47,128765
587,-0.016096455976366997,62,128827
588,-0.042451951652765274,48,128875
589,-0.026658058166503906,43,128918
590,-0.020693063735961914,80,128998
591,-0.04334551468491554,128,129126
592,-0.04121091589331627,63,129189
593,-0.017700320109725,60,129249
594,-0.04107149317860603,124,129373
595,-0.042593494057655334,64,129437
596,-0.017186110839247704,75,129512
597,-0.042577777057886124,95,129607
598,-0.04301206022500992,137,129744
599,-0.0030101649463176727,76,129820
600,-0.042463671416044235,48,129868
601,0.016948554664850235,143,130011
602,0.011481691151857376,100,130111
603,-0.01818116195499897,55,130166
