11.70,263996.04,309515.94,589.85
11.80,263996.01,309516.17,589.83
11.90,263995.98,309516.40,589.81
12.00,263995.96,309516.62,589.78
12.10,263995.95,309516.82,589.75
12.20,263995.93,309517.02,589.72
12.30,263995.91,309517.21,589.68
12.40,263995.88,309517.40,589.66
12.50,263995.83,309517.60,589.62
12.60,263995.78,309517.79,589.58
0.10,264000.01,309500.00,594.40
0.20,264000.02,309500.01,594.42
0.30,264000.05,309500.03,594.44
0.40,264000.06,309500.06,594.46
0.50,264000.09,309500.09,594.49
0.60,264000.12,309500.12,594.52
0.70,264000.15,309500.15,594.55
0.80,264000.17,309500.17,594.58
0.90,264000.21,309500.18,594.61
1.00,264000.25,309500.21,594.64
1.10,264000.29,309500.24,594.66
1.20,264000.34,309500.27,594.69
1.30,264000.39,309500.30,594.73
1.40,264000.45,309500.33,594.76
1.50,264000.52,309500.36,594.79
1.60,264000.59,309500.40,594.81
1.70,264000.66,309500.46,594.83
1.80,264000.74,309500.51,594.86
1.90,264000.82,309500.57,594.88
2.00,264000.88,309500.63,594.90
2.10,264000.93,309500.70,594.92
2.20,264000.97,309500.76,594.93
2.30,264001.02,309500.82,594.94
2.40,264001.05,309500.87,594.94
2.50,264001.07,309500.92,594.93
2.60,264001.08,309500.96,594.90
2.70,264001.10,309500.99,594.87
2.80,264001.11,309501.02,594.84
2.90,264001.13,309501.06,594.81
3.00,264001.17,309501.09,594.80
3.10,264001.20,309501.12,594.77
3.20,264001.22,309501.15,594.75
3.30,264001.25,309501.20,594.72
3.40,264001.29,309501.24,594.71
3.50,264001.32,309501.30,594.70
3.60,264001.33,309501.37,594.69
3.70,264001.34,309501.46,594.67
3.80,264001.34,309501.57,594.66
3.90,264001.34,309501.68,594.64
4.00,264001.33,309501.80,594.63
4.10,264001.31,309501.92,594.63
4.20,264001.30,309502.05,594.64
4.30,264001.29,309502.18,594.66
4.40,264001.29,309502.32,594.69
4.50,264001.29,309502.45,594.73
4.60,264001.30,309502.59,594.77
4.70,264001.31,309502.73,594.79
4.80,264001.32,309502.86,594.81
4.90,264001.34,309502.99,594.83
5.00,264001.37,309503.13,594.86
5.10,264001.37,309503.26,594.88
5.20,264001.36,309503.39,594.91
5.30,264001.35,309503.51,594.93
5.40,264001.35,309503.65,594.96
5.50,264001.35,309503.78,594.98
5.60,264001.34,309503.92,594.98
5.70,264001.35,309504.07,594.98
5.80,264001.36,309504.24,594.98
5.90,264001.38,309504.41,594.98
6.00,264001.40,309504.58,594.98
6.10,264001.43,309504.75,594.98
6.20,264001.46,309504.93,594.96
6.30,264001.50,309505.12,594.95
6.40,264001.53,309505.32,594.94
6.50,264001.58,309505.51,594.94
6.60,264001.63,309505.71,594.92
6.70,264001.67,309505.91,594.89
6.80,264001.73,309506.10,594.88
6.90,264001.80,309506.29,594.88
7.00,264001.88,309506.50,594.88
7.10,264001.96,309506.71,594.90
7.20,264002.03,309506.92,594.92
7.30,264002.12,309507.13,594.95
7.40,264002.20,309507.35,594.97
7.50,264002.28,309507.59,595.01
7.60,264002.34,309507.83,595.05
7.70,264002.42,309508.07,595.09
7.80,264002.51,309508.30,595.15
7.90,264002.60,309508.53,595.22
8.00,264002.69,309508.76,595.29
8.10,264002.78,309509.00,595.36
8.20,264002.87,309509.25,595.44
8.30,264002.98,309509.48,595.51
8.40,264003.10,309509.72,595.57
8.50,264003.23,309509.97,595.63
8.60,264003.35,309510.21,595.69
8.70,264003.46,309510.46,595.75
8.80,264003.56,309510.70,595.81
8.90,264003.66,309510.94,595.88
9.00,264003.77,309511.16,595.96
