time,x,y,z
23.40,264356.51,309272.07,817.46
23.50,264356.89,309271.35,817.65
23.60,264357.27,309270.65,817.85
23.70,264357.65,309269.93,818.06
23.80,264358.02,309269.22,818.27
23.90,264358.39,309268.49,818.46
24.00,264358.77,309267.78,818.66
24.10,264359.17,309267.08,818.85
24.20,264359.59,309266.40,819.04
24.30,264360.03,309265.72,819.23
24.40,264360.49,309265.05,819.41
24.50,264360.95,309264.38,819.61
24.60,264361.41,309263.74,819.80
24.70,264361.89,309263.09,820.00
24.80,264362.35,309262.42,820.22
24.90,264362.81,309261.75,820.46
25.00,264363.27,309261.08,820.70
25.10,264363.73,309260.42,820.94
0.10,264300.00,309369.99,741.22
0.20,264299.99,309369.97,741.25
0.30,264300.00,309369.94,741.28
0.40,264300.01,309369.93,741.30
0.50,264300.01,309369.93,741.32
0.60,264300.02,309369.94,741.36
0.70,264300.02,309369.96,741.41
0.80,264300.01,309369.96,741.48
0.90,264300.00,309369.95,741.53
1.00,264299.99,309369.94,741.57
1.10,264299.98,309369.95,741.60
1.20,264299.99,309369.98,741.63
1.30,264300.01,309370.00,741.66
1.40,264300.05,309369.99,741.71
1.50,264300.10,309369.96,741.75
1.60,264300.15,309369.90,741.78
1.70,264300.22,309369.84,741.79
1.80,264300.29,309369.77,741.81
1.90,264300.35,309369.69,741.84
2.00,264300.40,309369.60,741.87
2.10,264300.43,309369.50,741.91
2.20,264300.43,309369.39,741.94
2.30,264300.42,309369.26,741.94
2.40,264300.42,309369.14,741.94
2.50,264300.43,309369.01,741.95
2.60,264300.44,309368.87,741.94
2.70,264300.44,309368.72,741.90
2.80,264300.45,309368.55,741.83
2.90,264300.46,309368.36,741.75
3.00,264300.45,309368.15,741.67
3.10,264300.42,309367.94,741.62
3.20,264300.38,309367.74,741.58
3.30,264300.35,309367.52,741.56
3.40,264300.34,309367.29,741.55
3.50,264300.35,309367.05,741.54
3.60,264300.38,309366.81,741.54
3.70,264300.41,309366.55,741.53
3.80,264300.46,309366.28,741.50
3.90,264300.52,309365.99,741.50
4.00,264300.58,309365.68,741.51
4.10,264300.62,309365.36,741.52
4.20,264300.66,309365.03,741.54
4.30,264300.72,309364.70,741.59
4.40,264300.80,309364.33,741.65
4.50,264300.88,309363.96,741.71
4.60,264300.99,309363.58,741.78
4.70,264301.13,309363.20,741.85
4.80,264301.29,309362.81,741.91
