0.10,264000.00,309500.00,594.39
0.20,264000.01,309500.02,594.39
0.30,264000.02,309500.03,594.40
0.40,264000.01,309500.05,594.41
0.50,263999.99,309500.06,594.42
0.60,263999.96,309500.08,594.42
0.70,263999.91,309500.09,594.41
0.80,263999.85,309500.11,594.40
0.90,263999.80,309500.12,594.39
1.00,263999.75,309500.13,594.38
1.10,263999.69,309500.13,594.37
1.20,263999.65,309500.13,594.35
1.30,263999.63,309500.13,594.33
1.40,263999.62,309500.13,594.31
1.50,263999.62,309500.13,594.28
1.60,263999.61,309500.12,594.25
1.70,263999.60,309500.10,594.24
1.80,263999.58,309500.08,594.23
1.90,263999.57,309500.06,594.23
2.00,263999.56,309500.05,594.22
2.10,263999.54,309500.02,594.22
2.20,263999.53,309500.00,594.24
2.30,263999.51,309499.99,594.26
2.40,263999.50,309499.97,594.30
2.50,263999.48,309499.94,594.34
2.60,263999.46,309499.89,594.38
2.70,263999.44,309499.85,594.42
2.80,263999.42,309499.81,594.46
2.90,263999.41,309499.76,594.51
3.00,263999.40,309499.72,594.55
3.10,263999.39,309499.69,594.59
3.20,263999.38,309499.66,594.60
3.30,263999.36,309499.64,594.60
3.40,263999.35,309499.63,594.62
3.50,263999.34,309499.61,594.63
3.60,263999.33,309499.60,594.65
3.70,263999.31,309499.58,594.66
3.80,263999.28,309499.56,594.68
3.90,263999.25,309499.53,594.68
4.00,263999.21,309499.49,594.68
4.10,263999.18,309499.45,594.66
4.20,263999.14,309499.38,594.64
4.30,263999.11,309499.33,594.63
4.40,263999.09,309499.29,594.62
4.50,263999.07,309499.24,594.60
4.60,263999.05,309499.18,594.59
4.70,263999.03,309499.10,594.57
4.80,263999.00,309499.02,594.54
4.90,263998.96,309498.96,594.51
5.00,263998.93,309498.90,594.48
5.10,263998.90,309498.84,594.45
5.20,263998.87,309498.77,594.41
5.30,263998.84,309498.70,594.36
5.40,263998.81,309498.64,594.31
5.50,263998.78,309498.59,594.25
5.60,263998.75,309498.55,594.18
5.70,263998.74,309498.50,594.11
5.80,263998.73,309498.44,594.05
5.90,263998.74,309498.38,593.99
