time,x,y,z
18.40,264308.51,309352.00,726.83
18.50,264308.65,309351.85,726.72
18.60,264308.79,309351.70,726.63
18.70,264308.93,309351.55,726.54
18.80,264309.08,309351.39,726.46
18.90,264309.24,309351.25,726.37
19.00,264309.41,309351.10,726.30
19.10,264309.56,309350.95,726.24
19.20,264309.72,309350.80,726.17
19.30,264309.86,309350.65,726.11
19.40,264310.01,309350.51,726.07
19.50,264310.15,309350.36,726.03
19.60,264310.30,309350.21,725.98
19.70,264310.44,309350.06,725.93
19.80,264310.59,309349.91,725.87
19.90,264310.74,309349.74,725.81
20.00,264310.89,309349.55,725.76
20.10,264311.04,309349.37,725.71
0.10,264300.00,309370.00,741.20
0.20,264300.00,309370.00,741.19
0.30,264300.00,309370.02,741.20
0.40,264300.00,309370.05,741.20
0.50,264300.01,309370.08,741.19
0.60,264300.02,309370.11,741.17
0.70,264300.02,309370.15,741.15
0.80,264300.02,309370.19,741.14
0.90,264300.01,309370.25,741.13
1.00,264300.01,309370.31,741.12
1.10,264300.01,309370.37,741.11
1.20,264300.00,309370.44,741.10
1.30,264299.97,309370.51,741.09
1.40,264299.93,309370.56,741.09
1.50,264299.90,309370.62,741.10
1.60,264299.86,309370.67,741.11
1.70,264299.83,309370.74,741.12
1.80,264299.80,309370.81,741.12
1.90,264299.78,309370.89,741.11
2.00,264299.75,309370.98,741.10
2.10,264299.73,309371.07,741.10
2.20,264299.71,309371.16,741.09
2.30,264299.68,309371.26,741.09
2.40,264299.65,309371.38,741.10
2.50,264299.62,309371.48,741.11
2.60,264299.58,309371.58,741.12
2.70,264299.53,309371.66,741.14
2.80,264299.48,309371.74,741.15
2.90,264299.43,309371.82,741.15
3.00,264299.38,309371.89,741.16
3.10,264299.33,309371.96,741.16
3.20,264299.28,309372.02,741.17
3.30,264299.24,309372.07,741.16
3.40,264299.20,309372.12,741.15
3.50,264299.16,309372.16,741.13
3.60,264299.12,309372.20,741.11
3.70,264299.07,309372.24,741.08
3.80,264299.03,309372.27,741.05
3.90,264298.99,309372.31,741.03
4.00,264298.95,309372.34,740.99
4.10,264298.93,309372.36,740.94
4.20,264298.90,309372.38,740.88
4.30,264298.87,309372.41,740.84
4.40,264298.84,309372.44,740.81
4.50,264298.81,309372.46,740.78
4.60,264298.79,309372.47,740.75
4.70,264298.79,309372.47,740.72
4.80,264298.80,309372.48,740.70
4.90,264298.82,309372.49,740.68
5.00,264298.83,309372.51,740.66
5.10,264298.85,309372.52,740.63
5.20,264298.89,309372.53,740.59
5.30,264298.94,309372.53,740.55
5.40,264298.99,309372.51,740.50
5.50,264299.05,309372.49,740.44
5.60,264299.09,309372.46,740.37
5.70,264299.12,309372.44,740.29
5.80,264299.15,309372.41,740.21
5.90,264299.19,309372.38,740.12
6.00,264299.23,309372.36,740.03
6.10,264299.29,309372.33,739.93
6.20,264299.35,309372.30,739.83
6.30,264299.42,309372.29,739.72
6.40,264299.50,309372.28,739.62
6.50,264299.56,309372.27,739.52
6.60,264299.62,309372.26,739.41
6.70,264299.69,309372.27,739.31
6.80,264299.75,309372.28,739.21
6.90,264299.81,309372.30,739.09
7.00,264299.89,309372.31,738.97
7.10,264299.97,309372.31,738.85
7.20,264300.04,309372.31,738.73
7.30,264300.11,309372.33,738.60
7.40,264300.18,309372.35,738.47
7.50,264300.26,309372.38,738.35
7.60,264300.34,309372.39,738.22
7.70,264300.44,309372.40,738.10
7.80,264300.53,309372.39,737.99
7.90,264300.63,309372.39,737.89
8.00,264300.72,309372.40,737.79
8.10,264300.81,309372.40,737.69
8.20,264300.91,309372.40,737.58
