episode,return,length,timesteps
0,68.36451721191406,842,842
1,29.08062171936035,886,1728
2,20.69801902770996,1190,2918
3,26.113441467285156,1024,3942
4,19.698251724243164,740,4682
5,52.8329963684082,1708,6390
6,25.98615264892578,875,7265
7,24.115367889404297,792,8057
8,24.135009765625,808,8865
9,28.0494327545166,980,9845
10,53.04300308227539,1513,11358
11,33.77132797241211,962,12320
12,25.27195930480957,677,12997
13,33.69768524169922,967,13964
14,34.28213882446289,991,14955
15,23.32192039489746,619,15574
16,25.95869255065918,663,16237
17,24.93050765991211,704,16941
18,27.666128158569336,736,17677
19,49.36655044555664,1254,18931
20,32.490966796875,874,19805
21,46.7765007019043,1175,20980
22,26.575410842895508,652,21632
23,24.699161529541016,636,22268
24,25.438098907470703,646,22914
