time,x,y,z
9.60,264312.52,309402.14,737.74
9.70,264312.88,309402.79,737.68
0.10,264300.01,309370.01,741.22
0.20,264300.03,309370.03,741.23
0.30,264300.07,309370.05,741.23
0.40,264300.10,309370.09,741.23
0.50,264300.12,309370.12,741.24
0.60,264300.13,309370.16,741.25
0.70,264300.14,309370.21,741.26
0.80,264300.16,309370.27,741.26
0.90,264300.20,309370.32,741.26
1.00,264300.24,309370.38,741.28
1.10,264300.30,309370.43,741.28
1.20,264300.37,309370.49,741.27
1.30,264300.45,309370.57,741.27
1.40,264300.53,309370.64,741.27
1.50,264300.61,309370.71,741.27
1.60,264300.70,309370.78,741.28
1.70,264300.78,309370.85,741.28
1.80,264300.87,309370.93,741.28
1.90,264300.96,309371.01,741.28
2.00,264301.04,309371.09,741.27
2.10,264301.11,309371.17,741.26
2.20,264301.19,309371.26,741.25
2.30,264301.27,309371.35,741.25
2.40,264301.36,309371.45,741.24
2.50,264301.47,309371.54,741.23
2.60,264301.58,309371.64,741.21
2.70,264301.71,309371.73,741.19
2.80,264301.84,309371.82,741.16
2.90,264301.97,309371.91,741.12
3.00,264302.09,309372.01,741.07
3.10,264302.21,309372.10,741.02
3.20,264302.34,309372.20,740.95
3.30,264302.46,309372.29,740.89
3.40,264302.59,309372.40,740.82
3.50,264302.71,309372.50,740.76
3.60,264302.84,309372.62,740.68
3.70,264302.97,309372.75,740.61
3.80,264303.10,309372.89,740.54
3.90,264303.23,309373.03,740.49
4.00,264303.37,309373.17,740.43
4.10,264303.52,309373.32,740.37
4.20,264303.67,309373.48,740.30
4.30,264303.83,309373.65,740.24
4.40,264303.99,309373.82,740.17
4.50,264304.16,309374.00,740.09
4.60,264304.34,309374.18,740.01
4.70,264304.52,309374.38,739.92
4.80,264304.70,309374.59,739.82
4.90,264304.89,309374.81,739.72
5.00,264305.10,309375.03,739.62
5.10,264305.31,309375.25,739.51
5.20,264305.52,309375.47,739.41
5.30,264305.73,309375.69,739.30
5.40,264305.95,309375.90,739.16
5.50,264306.17,309376.12,739.02
5.60,264306.39,309376.33,738.88
5.70,264306.62,309376.55,738.73
5.80,264306.87,309376.77,738.58
5.90,264307.10,309377.00,738.43
6.00,264307.34,309377.23,738.29
6.10,264307.57,309377.47,738.15
6.20,264307.79,309377.72,738.01
6.30,264308.01,309377.97,737.87
6.40,264308.23,309378.23,737.72
6.50,264308.44,309378.50,737.58
6.60,264308.66,309378.78,737.44
6.70,264308.89,309379.07,737.31
6.80,264309.12,309379.37,737.17
6.90,264309.36,309379.67,737.04
7.00,264309.62,309379.98,736.91
7.10,264309.89,309380.29,736.78
7.20,264310.16,309380.60,736.65
7.30,264310.44,309380.91,736.52
7.40,264310.72,309381.23,736.39
7.50,264311.01,309381.56,736.26
7.60,264311.31,309381.89,736.14
7.70,264311.61,309382.23,736.01
7.80,264311.92,309382.57,735.89
