time,x,y,z
14.10,264329.62,309315.55,706.65
14.20,264329.80,309314.81,706.20
14.30,264329.97,309314.07,705.74
14.40,264330.14,309313.32,705.28
14.50,264330.30,309312.56,704.82
0.10,264300.01,309370.00,741.22
0.20,264300.04,309369.99,741.24
0.30,264300.07,309369.99,741.27
0.40,264300.12,309370.00,741.31
0.50,264300.17,309370.01,741.35
0.60,264300.24,309370.02,741.40
0.70,264300.32,309370.04,741.45
0.80,264300.40,309370.07,741.51
0.90,264300.49,309370.10,741.57
1.00,264300.60,309370.13,741.64
1.10,264300.72,309370.17,741.72
1.20,264300.85,309370.22,741.82
1.30,264300.98,309370.28,741.91
1.40,264301.12,309370.35,742.01
1.50,264301.26,309370.42,742.12
1.60,264301.42,309370.49,742.23
1.70,264301.58,309370.57,742.35
1.80,264301.76,309370.65,742.47
1.90,264301.95,309370.74,742.61
2.00,264302.14,309370.83,742.74
2.10,264302.34,309370.93,742.88
2.20,264302.54,309371.05,743.03
2.30,264302.74,309371.17,743.18
2.40,264302.96,309371.30,743.34
2.50,264303.19,309371.44,743.51
2.60,264303.42,309371.57,743.70
2.70,264303.65,309371.72,743.89
2.80,264303.90,309371.87,744.09
2.90,264304.15,309372.03,744.30
3.00,264304.41,309372.20,744.52
3.10,264304.69,309372.38,744.74
3.20,264304.97,309372.56,744.97
3.30,264305.27,309372.75,745.21
3.40,264305.57,309372.94,745.45
3.50,264305.89,309373.15,745.70
3.60,264306.22,309373.36,745.96
3.70,264306.57,309373.58,746.23
3.80,264306.93,309373.80,746.50
3.90,264307.31,309374.03,746.77
4.00,264307.70,309374.26,747.05
4.10,264308.11,309374.49,747.33
4.20,264308.53,309374.73,747.61
4.30,264308.97,309374.98,747.89
4.40,264309.43,309375.24,748.18
4.50,264309.89,309375.52,748.47
4.60,264310.36,309375.80,748.76
4.70,264310.83,309376.07,749.05
4.80,264311.31,309376.35,749.34
4.90,264311.80,309376.62,749.65
5.00,264312.29,309376.90,749.95
5.10,264312.79,309377.19,750.25
5.20,264313.30,309377.47,750.57
5.30,264313.83,309377.76,750.88
5.40,264314.38,309378.06,751.19
5.50,264314.95,309378.37,751.51
5.60,264315.53,309378.68,751.83
5.70,264316.13,309378.99,752.16
5.80,264316.74,309379.31,752.48
5.90,264317.35,309379.63,752.81
6.00,264317.98,309379.96,753.15
6.10,264318.62,309380.30,753.49
6.20,264319.29,309380.63,753.84
6.30,264319.98,309380.97,754.18
6.40,264320.69,309381.32,754.52
6.50,264321.41,309381.68,754.86
6.60,264322.14,309382.04,755.20
6.70,264322.86,309382.40,755.54
6.80,264323.59,309382.75,755.89
6.90,264324.32,309383.10,756.23
7.00,264325.05,309383.45,756.57
7.10,264325.78,309383.79,756.92
7.20,264326.50,309384.13,757.27
7.30,264327.23,309384.48,757.63
7.40,264327.96,309384.82,757.98
7.50,264328.69,309385.16,758.34
7.60,264329.43,309385.50,758.70
7.70,264330.17,309385.83,759.06
7.80,264330.90,309386.15,759.41
7.90,264331.64,309386.47,759.77
8.00,264332.38,309386.79,760.13
8.10,264333.13,309387.10,760.49
8.20,264333.87,309387.42,760.85
8.30,264334.61,309387.73,761.21
8.40,264335.35,309388.05,761.57
8.50,264336.10,309388.37,761.93
8.60,264336.84,309388.68,762.29
8.70,264337.60,309388.99,762.65
8.80,264338.35,309389.29,763.01
8.90,264339.10,309389.59,763.37
9.00,264339.86,309389.88,763.75
9.10,264340.61,309390.18,764.12
9.20,264341.36,309390.47,764.51
9.30,264342.12,309390.76,764.89
9.40,264342.87,309391.06,765.28
9.50,264343.62,309391.35,765.67
9.60,264344.38,309391.64,766.05
9.70,264345.13,309391.93,766.43
9.80,264345.87,309392.23,766.81
9.90,264346.62,309392.53,767.19
10.00,264347.37,309392.83,767.57
10.10,264348.12,309393.12,767.95
10.20,264348.87,309393.41,768.33
10.30,264349.62,309393.70,768.72
10.40,264350.38,309393.99,769.11
10.50,264351.13,309394.27,769.50
10.60,264351.90,309394.56,769.88
10.70,264352.66,309394.83,770.27
10.80,264353.43,309395.11,770.66
10.90,264354.19,309395.38,771.05
11.00,264354.95,309395.64,771.44
11.10,264355.72,309395.90,771.84
11.20,264356.48,309396.16,772.24
11.30,264357.25,309396.42,772.63
11.40,264358.02,309396.67,773.03
11.50,264358.79,309396.92,773.43
11.60,264359.56,309397.18,773.83
11.70,264360.33,309397.43,774.23
11.80,264361.10,309397.68,774.64
11.90,264361.87,309397.92,775.05
12.00,264362.65,309398.16,775.46
12.10,264363.42,309398.40,775.87
12.20,264364.19,309398.65,776.29
12.30,264364.96,309398.89,776.70
12.40,264365.73,309399.14,777.11
12.50,264366.50,309399.38,777.53
12.60,264367.27,309399.62,777.95
12.70,264368.05,309399.85,778.37
12.80,264368.82,309400.07,778.79
12.90,264369.59,309400.30,779.20
13.00,264370.37,309400.52,779.62
13.10,264371.15,309400.74,780.04
13.20,264371.92,309400.96,780.45
13.30,264372.70,309401.18,780.86
13.40,264373.48,309401.39,781.26
13.50,264374.26,309401.60,781.67
13.60,264375.03,309401.82,782.07
13.70,264375.81,309402.03,782.48
13.80,264376.58,309402.25,782.90
13.90,264377.37,309402.46,783.33
14.00,264378.15,309402.67,783.75
14.10,264378.93,309402.88,784.19
14.20,264379.71,309403.09,784.63
14.30,264380.49,309403.29,785.07
14.40,264381.27,309403.49,785.50
14.50,264382.05,309403.70,785.93
14.60,264382.84,309403.90,786.36
14.70,264383.62,309404.10,786.78
14.80,264384.41,309404.30,787.20
14.90,264385.19,309404.50,787.62
