time,x,y,z
7.90,264312.90,309407.84,743.11
8.00,264313.17,309408.60,743.12
8.10,264313.45,309409.35,743.14
8.20,264313.74,309410.10,743.15
8.30,264314.03,309410.85,743.17
8.40,264314.31,309411.60,743.17
8.50,264314.60,309412.36,743.18
8.60,264314.88,309413.11,743.19
0.10,264300.01,309370.00,741.20
0.20,264300.03,309370.01,741.20
0.30,264300.05,309370.03,741.19
0.40,264300.08,309370.07,741.19
0.50,264300.12,309370.09,741.18
0.60,264300.16,309370.13,741.19
0.70,264300.20,309370.18,741.19
0.80,264300.25,309370.24,741.18
0.90,264300.30,309370.30,741.17
1.00,264300.34,309370.36,741.15
1.10,264300.39,309370.43,741.14
1.20,264300.45,309370.50,741.12
1.30,264300.51,309370.56,741.10
1.40,264300.58,309370.62,741.07
1.50,264300.65,309370.69,741.04
1.60,264300.72,309370.77,741.00
1.70,264300.78,309370.87,740.97
1.80,264300.86,309370.97,740.93
1.90,264300.94,309371.08,740.90
2.00,264301.02,309371.19,740.86
2.10,264301.12,309371.31,740.83
2.20,264301.21,309371.45,740.79
2.30,264301.32,309371.61,740.75
2.40,264301.42,309371.78,740.70
2.50,264301.51,309371.96,740.66
2.60,264301.61,309372.16,740.62
2.70,264301.71,309372.37,740.55
2.80,264301.81,309372.60,740.47
2.90,264301.89,309372.83,740.39
3.00,264301.99,309373.06,740.31
3.10,264302.09,309373.31,740.23
3.20,264302.20,309373.57,740.13
3.30,264302.31,309373.84,740.03
3.40,264302.41,309374.12,739.92
3.50,264302.52,309374.40,739.81
3.60,264302.65,309374.69,739.69
3.70,264302.79,309374.99,739.57
3.80,264302.93,309375.31,739.44
3.90,264303.08,309375.65,739.32
4.00,264303.24,309375.99,739.18
4.10,264303.40,309376.34,739.04
4.20,264303.56,309376.70,738.91
4.30,264303.71,309377.08,738.79
4.40,264303.86,309377.46,738.65
4.50,264304.00,309377.86,738.50
4.60,264304.13,309378.26,738.36
4.70,264304.28,309378.67,738.23
4.80,264304.43,309379.08,738.10
4.90,264304.58,309379.49,737.97
5.00,264304.72,309379.91,737.84
5.10,264304.87,309380.35,737.70
5.20,264305.03,309380.80,737.56
5.30,264305.18,309381.24,737.43
5.40,264305.34,309381.68,737.32
5.50,264305.51,309382.10,737.21
5.60,264305.69,309382.52,737.11
5.70,264305.87,309382.93,736.99
5.80,264306.05,309383.35,736.87
5.90,264306.23,309383.77,736.76
6.00,264306.41,309384.22,736.64
6.10,264306.59,309384.67,736.52
6.20,264306.77,309385.13,736.38
6.30,264306.97,309385.60,736.24
6.40,264307.16,309386.07,736.09
6.50,264307.35,309386.56,735.93
6.60,264307.54,309387.05,735.77
6.70,264307.73,309387.54,735.62
6.80,264307.93,309388.04,735.46
6.90,264308.13,309388.55,735.30
7.00,264308.32,309389.07,735.15
7.10,264308.53,309389.59,734.99
7.20,264308.73,309390.13,734.84
