time,x,y,z
25.90,264326.65,309206.37,665.67
26.00,264326.62,309205.57,665.17
0.10,264300.00,309370.00,741.21
0.20,264299.99,309370.00,741.21
0.30,264299.97,309370.00,741.21
0.40,264299.95,309370.01,741.19
0.50,264299.92,309370.00,741.17
0.60,264299.89,309370.01,741.16
0.70,264299.85,309370.02,741.15
0.80,264299.79,309370.05,741.12
0.90,264299.70,309370.08,741.09
1.00,264299.61,309370.11,741.06
1.10,264299.51,309370.14,741.02
1.20,264299.40,309370.17,740.97
1.30,264299.30,309370.20,740.92
1.40,264299.19,309370.24,740.89
1.50,264299.09,309370.29,740.84
1.60,264298.99,309370.34,740.78
1.70,264298.88,309370.39,740.71
1.80,264298.75,309370.46,740.63
1.90,264298.62,309370.53,740.53
2.00,264298.48,309370.58,740.42
2.10,264298.32,309370.65,740.31
2.20,264298.15,309370.72,740.17
2.30,264297.95,309370.80,740.03
2.40,264297.76,309370.87,739.86
2.50,264297.56,309370.95,739.69
2.60,264297.36,309371.03,739.52
2.70,264297.16,309371.11,739.34
2.80,264296.96,309371.18,739.15
2.90,264296.75,309371.25,738.95
3.00,264296.53,309371.32,738.76
3.10,264296.30,309371.39,738.55
3.20,264296.06,309371.47,738.34
3.30,264295.82,309371.55,738.12
3.40,264295.58,309371.64,737.91
3.50,264295.33,309371.72,737.70
3.60,264295.07,309371.81,737.48
3.70,264294.81,309371.90,737.25
3.80,264294.53,309372.00,737.01
3.90,264294.23,309372.09,736.75
4.00,264293.93,309372.19,736.50
4.10,264293.61,309372.30,736.25
4.20,264293.30,309372.41,736.00
4.30,264292.98,309372.51,735.74
4.40,264292.64,309372.62,735.47
4.50,264292.29,309372.74,735.21
4.60,264291.93,309372.87,734.94
4.70,264291.56,309373.00,734.67
4.80,264291.18,309373.14,734.39
4.90,264290.81,309373.28,734.10
5.00,264290.43,309373.41,733.82
5.10,264290.04,309373.54,733.53
5.20,264289.64,309373.68,733.24
5.30,264289.24,309373.82,732.94
5.40,264288.84,309373.96,732.63
5.50,264288.43,309374.11,732.31
5.60,264288.01,309374.25,731.99
5.70,264287.59,309374.40,731.66
5.80,264287.16,309374.55,731.33
5.90,264286.73,309374.72,731.01
6.00,264286.30,309374.89,730.68
6.10,264285.88,309375.07,730.35
6.20,264285.44,309375.25,730.02
6.30,264285.00,309375.44,729.68
6.40,264284.56,309375.63,729.32
6.50,264284.10,309375.84,728.95
6.60,264283.64,309376.05,728.57
6.70,264283.17,309376.26,728.19
6.80,264282.69,309376.49,727.80
6.90,264282.20,309376.72,727.42
7.00,264281.72,309376.95,727.04
7.10,264281.22,309377.20,726.66
7.20,264280.71,309377.44,726.27
7.30,264280.20,309377.68,725.88
7.40,264279.67,309377.92,725.49
7.50,264279.14,309378.17,725.09
7.60,264278.61,309378.41,724.67
7.70,264278.06,309378.66,724.25
7.80,264277.51,309378.92,723.82
