time,x,y,z
6.30,264322.54,309390.15,742.99
6.40,264323.21,309390.60,743.01
6.50,264323.87,309391.06,743.03
6.60,264324.53,309391.52,743.05
6.70,264325.20,309391.97,743.06
6.80,264325.87,309392.43,743.07
0.10,264300.00,309370.00,741.21
0.20,264300.01,309370.01,741.21
0.30,264300.03,309370.02,741.23
0.40,264300.05,309370.03,741.26
0.50,264300.07,309370.04,741.28
0.60,264300.09,309370.06,741.31
0.70,264300.12,309370.08,741.33
0.80,264300.15,309370.10,741.35
0.90,264300.19,309370.12,741.36
1.00,264300.24,309370.14,741.38
1.10,264300.28,309370.18,741.38
1.20,264300.33,309370.22,741.39
1.30,264300.38,309370.27,741.39
1.40,264300.43,309370.33,741.38
1.50,264300.48,309370.40,741.39
1.60,264300.54,309370.46,741.40
1.70,264300.61,309370.54,741.42
1.80,264300.68,309370.63,741.44
1.90,264300.75,309370.73,741.48
2.00,264300.82,309370.84,741.53
2.10,264300.91,309370.96,741.58
2.20,264301.00,309371.09,741.64
2.30,264301.09,309371.24,741.72
2.40,264301.18,309371.41,741.79
2.50,264301.27,309371.59,741.87
2.60,264301.37,309371.77,741.97
2.70,264301.49,309371.97,742.07
2.80,264301.62,309372.17,742.17
2.90,264301.78,309372.37,742.28
3.00,264301.94,309372.58,742.38
3.10,264302.10,309372.80,742.47
3.20,264302.29,309373.01,742.57
3.30,264302.50,309373.24,742.67
3.40,264302.72,309373.48,742.76
3.50,264302.95,309373.72,742.85
3.60,264303.19,309373.96,742.94
3.70,264303.45,309374.20,743.04
3.80,264303.72,309374.46,743.13
3.90,264304.01,309374.72,743.21
4.00,264304.30,309374.98,743.30
4.10,264304.58,309375.23,743.41
4.20,264304.86,309375.48,743.52
4.30,264305.16,309375.75,743.62
4.40,264305.45,309376.02,743.72
4.50,264305.75,309376.31,743.81
4.60,264306.06,309376.60,743.91
4.70,264306.38,309376.89,744.01
4.80,264306.72,309377.20,744.11
4.90,264307.05,309377.50,744.21
5.00,264307.39,309377.80,744.32
5.10,264307.73,309378.10,744.43
5.20,264308.08,309378.40,744.53
5.30,264308.43,309378.71,744.61
5.40,264308.80,309379.03,744.70
5.50,264309.18,309379.35,744.78
5.60,264309.55,309379.68,744.87
5.70,264309.92,309380.02,744.97
5.80,264310.29,309380.37,745.07
5.90,264310.67,309380.72,745.17
6.00,264311.05,309381.09,745.27
6.10,264311.44,309381.46,745.36
6.20,264311.84,309381.84,745.45
6.30,264312.25,309382.22,745.53
6.40,264312.67,309382.60,745.61
6.50,264313.09,309382.98,745.68
6.60,264313.52,309383.38,745.76
6.70,264313.96,309383.80,745.83
6.80,264314.40,309384.21,745.91
6.90,264314.86,309384.63,745.99
7.00,264315.33,309385.06,746.07
7.10,264315.83,309385.49,746.15
7.20,264316.33,309385.92,746.22
7.30,264316.84,309386.35,746.28
7.40,264317.35,309386.80,746.33
7.50,264317.87,309387.24,746.38
7.60,264318.39,309387.69,746.43
7.70,264318.91,309388.15,746.48
7.80,264319.44,309388.60,746.54
7.90,264319.96,309389.05,746.59
8.00,264320.48,309389.52,746.65
8.10,264321.00,309390.00,746.70
8.20,264321.52,309390.49,746.77
8.30,264322.05,309390.98,746.84
8.40,264322.59,309391.47,746.91
8.50,264323.13,309391.98,746.95
8.60,264323.70,309392.49,746.99
8.70,264324.28,309393.02,747.04
8.80,264324.87,309393.56,747.09
8.90,264325.46,309394.10,747.14
9.00,264326.06,309394.64,747.22
9.10,264326.66,309395.17,747.30
9.20,264327.26,309395.70,747.39
9.30,264327.87,309396.22,747.48
9.40,264328.48,309396.74,747.57
