time,x,y,z
8.70,264247.31,309388.66,706.66
8.80,264246.56,309388.95,706.15
8.90,264245.80,309389.24,705.64
9.00,264245.05,309389.53,705.14
0.10,264300.00,309370.01,741.21
0.20,264300.01,309370.02,741.22
0.30,264300.03,309370.05,741.24
0.40,264300.05,309370.08,741.26
0.50,264300.08,309370.12,741.30
0.60,264300.13,309370.18,741.36
0.70,264300.19,309370.24,741.42
0.80,264300.26,309370.32,741.50
0.90,264300.34,309370.42,741.58
1.00,264300.44,309370.53,741.68
1.10,264300.53,309370.65,741.80
1.20,264300.63,309370.78,741.92
1.30,264300.73,309370.92,742.06
1.40,264300.84,309371.07,742.21
1.50,264300.95,309371.24,742.37
1.60,264301.07,309371.41,742.52
1.70,264301.20,309371.60,742.69
1.80,264301.33,309371.79,742.87
1.90,264301.49,309372.00,743.05
2.00,264301.66,309372.22,743.24
2.10,264301.83,309372.46,743.43
2.20,264302.02,309372.71,743.63
2.30,264302.23,309372.98,743.84
2.40,264302.45,309373.25,744.06
2.50,264302.67,309373.54,744.27
2.60,264302.89,309373.83,744.50
2.70,264303.12,309374.14,744.73
2.80,264303.37,309374.46,744.96
2.90,264303.64,309374.80,745.20
3.00,264303.93,309375.15,745.44
3.10,264304.23,309375.51,745.68
3.20,264304.56,309375.88,745.92
3.30,264304.89,309376.26,746.18
3.40,264305.23,309376.66,746.43
3.50,264305.59,309377.06,746.69
3.60,264305.97,309377.48,746.94
3.70,264306.36,309377.92,747.20
3.80,264306.76,309378.36,747.46
3.90,264307.19,309378.79,747.72
4.00,264307.64,309379.24,747.97
4.10,264308.11,309379.69,748.24
4.20,264308.60,309380.13,748.51
4.30,264309.11,309380.59,748.78
4.40,264309.64,309381.05,749.06
4.50,264310.19,309381.52,749.34
4.60,264310.77,309382.00,749.62
4.70,264311.34,309382.48,749.91
4.80,264311.93,309382.96,750.19
4.90,264312.53,309383.45,750.48
5.00,264313.14,309383.94,750.77
5.10,264313.78,309384.45,751.08
5.20,264314.40,309384.95,751.38
5.30,264315.03,309385.46,751.70
5.40,264315.66,309385.97,752.02
5.50,264316.29,309386.47,752.34
5.60,264316.92,309386.97,752.66
5.70,264317.56,309387.47,752.97
5.80,264318.21,309387.97,753.28
5.90,264318.85,309388.46,753.60
6.00,264319.50,309388.95,753.91
6.10,264320.15,309389.44,754.23
6.20,264320.79,309389.92,754.55
6.30,264321.44,309390.40,754.88
6.40,264322.10,309390.86,755.20
6.50,264322.77,309391.33,755.52
6.60,264323.44,309391.78,755.85
6.70,264324.11,309392.24,756.18
6.80,264324.78,309392.70,756.51
6.90,264325.44,309393.16,756.82
7.00,264326.11,309393.61,757.14
7.10,264326.77,309394.07,757.47
7.20,264327.44,309394.53,757.80
7.30,264328.11,309394.99,758.13
7.40,264328.78,309395.44,758.45
7.50,264329.44,309395.90,758.77
7.60,264330.11,309396.35,759.10
7.70,264330.79,309396.80,759.43
7.80,264331.46,309397.25,759.77
7.90,264332.13,309397.70,760.10
8.00,264332.81,309398.15,760.44
8.10,264333.48,309398.60,760.78
8.20,264334.15,309399.04,761.12
8.30,264334.82,309399.48,761.46
8.40,264335.48,309399.93,761.81
8.50,264336.15,309400.39,762.16
8.60,264336.81,309400.85,762.51
8.70,264337.47,309401.31,762.85
8.80,264338.13,309401.78,763.21
8.90,264338.80,309402.24,763.56
9.00,264339.46,309402.70,763.91
9.10,264340.12,309403.16,764.27
9.20,264340.79,309403.63,764.62
9.30,264341.45,309404.09,764.97
9.40,264342.11,309404.55,765.32
9.50,264342.77,309405.02,765.67
9.60,264343.43,309405.49,766.03
9.70,264344.08,309405.96,766.38
9.80,264344.74,309406.43,766.73
9.90,264345.39,309406.90,767.09
10.00,264346.06,309407.37,767.45
10.10,264346.72,309407.84,767.82
10.20,264347.38,309408.30,768.19
10.30,264348.05,309408.76,768.56
10.40,264348.71,309409.22,768.94
10.50,264349.37,309409.68,769.31
10.60,264350.04,309410.14,769.67
10.70,264350.71,309410.60,770.04
10.80,264351.38,309411.05,770.41
10.90,264352.04,309411.51,770.78
11.00,264352.70,309411.97,771.14
11.10,264353.36,309412.43,771.50
11.20,264354.02,309412.89,771.86
11.30,264354.68,309413.36,772.22
11.40,264355.34,309413.83,772.57
11.50,264356.00,309414.29,772.93
11.60,264356.67,309414.76,773.28
11.70,264357.33,309415.22,773.64
11.80,264357.99,309415.68,773.99
11.90,264358.65,309416.15,774.33
12.00,264359.30,309416.61,774.67
12.10,264359.97,309417.08,775.02
12.20,264360.62,309417.55,775.36
12.30,264361.28,309418.02,775.70
12.40,264361.93,309418.50,776.04
12.50,264362.59,309418.97,776.38
12.60,264363.25,309419.45,776.71
12.70,264363.90,309419.92,777.05
12.80,264364.55,309420.40,777.40
12.90,264365.20,309420.87,777.75
13.00,264365.86,309421.35,778.11
13.10,264366.50,309421.83,778.45
13.20,264367.15,309422.31,778.80
13.30,264367.79,309422.80,779.14
13.40,264368.43,309423.29,779.47
13.50,264369.08,309423.77,779.81
13.60,264369.73,309424.25,780.15
13.70,264370.39,309424.72,780.49
