time,x,y,z
6.00,264280.38,309373.33,726.24
6.10,264279.71,309373.43,725.78
6.20,264279.04,309373.53,725.31
6.30,264278.35,309373.62,724.84
6.40,264277.66,309373.72,724.36
6.50,264276.95,309373.82,723.88
6.60,264276.24,309373.91,723.40
6.70,264275.52,309374.01,722.92
6.80,264274.79,309374.10,722.44
6.90,264274.05,309374.19,721.95
7.00,264273.30,309374.28,721.46
7.10,264272.54,309374.37,720.98
7.20,264271.78,309374.46,720.50
7.30,264270.99,309374.56,720.02
7.40,264270.19,309374.67,719.54
7.50,264269.39,309374.77,719.05
0.10,264300.00,309370.00,741.20
0.20,264299.98,309370.00,741.19
0.30,264299.96,309370.01,741.19
0.40,264299.93,309370.02,741.18
0.50,264299.90,309370.03,741.17
0.60,264299.85,309370.05,741.16
0.70,264299.78,309370.07,741.15
0.80,264299.71,309370.10,741.15
0.90,264299.62,309370.14,741.14
1.00,264299.52,309370.19,741.13
1.10,264299.39,309370.24,741.13
1.20,264299.25,309370.30,741.12
1.30,264299.10,309370.37,741.13
1.40,264298.93,309370.44,741.14
1.50,264298.76,309370.52,741.14
1.60,264298.58,309370.60,741.13
1.70,264298.40,309370.69,741.12
1.80,264298.22,309370.78,741.11
1.90,264298.02,309370.87,741.10
2.00,264297.83,309370.97,741.09
2.10,264297.63,309371.08,741.08
2.20,264297.42,309371.20,741.06
2.30,264297.20,309371.32,741.04
2.40,264296.97,309371.45,741.02
2.50,264296.73,309371.58,741.00
2.60,264296.50,309371.72,740.99
2.70,264296.27,309371.87,740.96
2.80,264296.03,309372.02,740.93
2.90,264295.79,309372.18,740.89
3.00,264295.55,309372.33,740.86
3.10,264295.30,309372.49,740.82
3.20,264295.06,309372.66,740.77
3.30,264294.81,309372.84,740.73
3.40,264294.56,309373.02,740.69
3.50,264294.30,309373.21,740.64
3.60,264294.04,309373.40,740.60
3.70,264293.78,309373.60,740.55
3.80,264293.53,309373.81,740.51
3.90,264293.27,309374.02,740.46
4.00,264293.00,309374.23,740.42
4.10,264292.73,309374.45,740.38
4.20,264292.46,309374.68,740.33
4.30,264292.18,309374.91,740.28
4.40,264291.89,309375.15,740.23
4.50,264291.60,309375.39,740.17
4.60,264291.32,309375.63,740.12
4.70,264291.03,309375.88,740.06
4.80,264290.74,309376.13,739.99
4.90,264290.44,309376.38,739.93
5.00,264290.14,309376.64,739.87
5.10,264289.85,309376.90,739.80
5.20,264289.55,309377.18,739.73
5.30,264289.26,309377.46,739.67
5.40,264288.97,309377.75,739.60
5.50,264288.67,309378.03,739.54
5.60,264288.38,309378.32,739.47
5.70,264288.07,309378.62,739.40
5.80,264287.76,309378.91,739.33
5.90,264287.45,309379.21,739.26
6.00,264287.15,309379.51,739.19
6.10,264286.85,309379.82,739.12
