time,x,y,z
6.30,264300.64,309384.82,734.64
6.40,264300.70,309385.29,734.34
6.50,264300.76,309385.77,734.02
6.60,264300.81,309386.25,733.71
6.70,264300.85,309386.73,733.39
6.80,264300.91,309387.21,733.07
6.90,264300.97,309387.69,732.75
7.00,264301.02,309388.19,732.44
7.10,264301.08,309388.69,732.12
7.20,264301.14,309389.20,731.81
0.10,264299.99,309370.01,741.21
0.20,264299.97,309370.03,741.20
0.30,264299.94,309370.07,741.19
0.40,264299.90,309370.10,741.18
0.50,264299.85,309370.14,741.18
0.60,264299.80,309370.18,741.20
0.70,264299.74,309370.22,741.21
0.80,264299.68,309370.27,741.20
0.90,264299.63,309370.32,741.18
1.00,264299.59,309370.38,741.17
1.10,264299.56,309370.43,741.16
1.20,264299.52,309370.48,741.17
1.30,264299.48,309370.54,741.17
1.40,264299.44,309370.60,741.19
1.50,264299.40,309370.67,741.21
1.60,264299.35,309370.75,741.23
1.70,264299.30,309370.83,741.24
1.80,264299.26,309370.92,741.26
1.90,264299.21,309371.02,741.29
2.00,264299.16,309371.14,741.31
2.10,264299.12,309371.25,741.34
2.20,264299.09,309371.38,741.38
2.30,264299.06,309371.50,741.43
2.40,264299.05,309371.61,741.47
2.50,264299.03,309371.74,741.52
2.60,264299.01,309371.87,741.55
2.70,264298.99,309372.01,741.59
2.80,264298.97,309372.16,741.63
2.90,264298.94,309372.30,741.67
3.00,264298.91,309372.45,741.70
3.10,264298.88,309372.59,741.72
3.20,264298.87,309372.73,741.74
3.30,264298.85,309372.88,741.76
3.40,264298.83,309373.04,741.78
3.50,264298.83,309373.20,741.80
3.60,264298.84,309373.36,741.82
3.70,264298.87,309373.52,741.85
3.80,264298.90,309373.70,741.86
3.90,264298.94,309373.90,741.89
4.00,264298.99,309374.09,741.92
4.10,264299.03,309374.28,741.95
4.20,264299.08,309374.49,741.98
4.30,264299.12,309374.69,742.01
4.40,264299.17,309374.90,742.06
4.50,264299.23,309375.10,742.10
4.60,264299.27,309375.31,742.13
4.70,264299.31,309375.52,742.17
4.80,264299.35,309375.73,742.20
4.90,264299.41,309375.95,742.21
5.00,264299.46,309376.17,742.23
5.10,264299.52,309376.42,742.25
5.20,264299.57,309376.68,742.27
5.30,264299.63,309376.95,742.30
5.40,264299.68,309377.23,742.33
5.50,264299.72,309377.50,742.37
5.60,264299.77,309377.77,742.43
5.70,264299.82,309378.05,742.49
5.80,264299.88,309378.33,742.55
5.90,264299.95,309378.64,742.61
6.00,264300.01,309378.96,742.68
6.10,264300.06,309379.30,742.74
6.20,264300.13,309379.65,742.80
6.30,264300.20,309380.02,742.85
6.40,264300.29,309380.40,742.91
6.50,264300.40,309380.80,742.98
6.60,264300.50,309381.21,743.05
6.70,264300.60,309381.62,743.11
6.80,264300.70,309382.03,743.19
6.90,264300.81,309382.45,743.27
7.00,264300.91,309382.88,743.35
7.10,264301.01,309383.31,743.44
7.20,264301.11,309383.75,743.53
7.30,264301.20,309384.21,743.63
7.40,264301.30,309384.66,743.73
7.50,264301.41,309385.12,743.83
7.60,264301.51,309385.58,743.92
7.70,264301.62,309386.03,744.03
7.80,264301.73,309386.48,744.16
7.90,264301.83,309386.92,744.28
8.00,264301.93,309387.36,744.40
8.10,264302.04,309387.79,744.53
8.20,264302.16,309388.23,744.65
8.30,264302.28,309388.67,744.76
8.40,264302.40,309389.13,744.86
8.50,264302.51,309389.60,744.97
8.60,264302.64,309390.07,745.08
8.70,264302.77,309390.54,745.18
8.80,264302.90,309391.01,745.27
8.90,264303.05,309391.48,745.36
9.00,264303.20,309391.96,745.47
9.10,264303.35,309392.46,745.59
9.20,264303.51,309392.96,745.71
9.30,264303.66,309393.49,745.83
9.40,264303.81,309394.02,745.94
9.50,264303.95,309394.56,746.06
9.60,264304.10,309395.11,746.18
9.70,264304.25,309395.65,746.32
9.80,264304.40,309396.21,746.46
9.90,264304.54,309396.76,746.58
10.00,264304.69,309397.32,746.72
10.10,264304.83,309397.87,746.84
10.20,264304.97,309398.43,746.96
10.30,264305.10,309399.00,747.08
10.40,264305.23,309399.58,747.20
10.50,264305.36,309400.15,747.32
10.60,264305.49,309400.73,747.43
10.70,264305.63,309401.31,747.55
10.80,264305.77,309401.88,747.65
10.90,264305.92,309402.47,747.74
11.00,264306.07,309403.05,747.85
11.10,264306.23,309403.65,747.95
11.20,264306.38,309404.24,748.06
11.30,264306.53,309404.83,748.18
11.40,264306.68,309405.42,748.30
11.50,264306.83,309406.01,748.43
11.60,264306.97,309406.62,748.56
11.70,264307.11,309407.23,748.69
11.80,264307.24,309407.85,748.83
11.90,264307.37,309408.46,748.98
12.00,264307.49,309409.07,749.12
12.10,264307.60,309409.69,749.27
12.20,264307.72,309410.32,749.43
12.30,264307.84,309410.95,749.59
12.40,264307.97,309411.58,749.75
12.50,264308.11,309412.23,749.89
12.60,264308.27,309412.88,750.03
12.70,264308.43,309413.55,750.16
12.80,264308.59,309414.22,750.29
12.90,264308.76,309414.89,750.42
13.00,264308.94,309415.55,750.56
13.10,264309.12,309416.24,750.71
13.20,264309.31,309416.93,750.86
13.30,264309.51,309417.62,751.00
13.40,264309.70,309418.31,751.15
13.50,264309.90,309419.01,751.32
13.60,264310.11,309419.73,751.48
13.70,264310.32,309420.47,751.64
13.80,264310.53,309421.22,751.82
13.90,264310.73,309421.96,752.00
14.00,264310.94,309422.71,752.21
14.10,264311.15,309423.47,752.41
14.20,264311.36,309424.23,752.61
14.30,264311.59,309425.00,752.81
14.40,264311.81,309425.78,753.02
14.50,264312.03,309426.54,753.22
14.60,264312.25,309427.29,753.43
14.70,264312.46,309428.04,753.63
14.80,264312.67,309428.78,753.85
14.90,264312.88,309429.53,754.07
15.00,264313.08,309430.27,754.29
15.10,264313.29,309431.03,754.52
15.20,264313.51,309431.79,754.75
15.30,264313.72,309432.55,754.96
15.40,264313.93,309433.33,755.18
15.50,264314.14,309434.10,755.41
15.60,264314.36,309434.87,755.65
15.70,264314.58,309435.64,755.88
15.80,264314.82,309436.40,756.11
15.90,264315.05,309437.16,756.34
16.00,264315.28,309437.92,756.56
16.10,264315.52,309438.68,756.80
16.20,264315.75,309439.46,757.04
16.30,264315.98,309440.22,757.29
16.40,264316.22,309440.98,757.56
16.50,264316.47,309441.74,757.83
16.60,264316.73,309442.50,758.10
16.70,264316.98,309443.24,758.36
16.80,264317.25,309443.98,758.62
16.90,264317.52,309444.72,758.87
17.00,264317.78,309445.46,759.12
17.10,264318.04,309446.22,759.39
17.20,264318.31,309446.97,759.64
17.30,264318.58,309447.72,759.91
17.40,264318.85,309448.47,760.17
17.50,264319.11,309449.23,760.43
17.60,264319.37,309449.99,760.70
17.70,264319.64,309450.75,760.97
17.80,264319.90,309451.51,761.25
17.90,264320.15,309452.26,761.52
18.00,264320.39,309453.01,761.79
18.10,264320.62,309453.77,762.05
18.20,264320.84,309454.54,762.32
18.30,264321.06,309455.31,762.58
18.40,264321.27,309456.08,762.84
18.50,264321.48,309456.85,763.10
18.60,264321.68,309457.62,763.36
18.70,264321.88,309458.40,763.63
18.80,264322.08,309459.19,763.90
18.90,264322.27,309459.96,764.17
19.00,264322.47,309460.72,764.45
19.10,264322.68,309461.48,764.73
19.20,264322.89,309462.25,765.01
19.30,264323.10,309463.03,765.29
19.40,264323.30,309463.80,765.58
19.50,264323.49,309464.58,765.88
19.60,264323.68,309465.35,766.19
19.70,264323.86,309466.14,766.50
19.80,264324.04,309466.93,766.82
19.90,264324.22,309467.70,767.15
20.00,264324.41,309468.47,767.49
20.10,264324.58,309469.24,767.83
20.20,264324.77,309470.01,768.18
20.30,264324.96,309470.79,768.53
20.40,264325.16,309471.57,768.90
20.50,264325.35,309472.34,769.28
20.60,264325.55,309473.12,769.67
20.70,264325.73,309473.89,770.08
20.80,264325.92,309474.65,770.49
20.90,264326.11,309475.40,770.91
21.00,264326.27,309476.15,771.34
21.10,264326.42,309476.90,771.78
21.20,264326.56,309477.66,772.23
21.30,264326.70,309478.42,772.67
21.40,264326.85,309479.19,773.11
21.50,264326.98,309479.97,773.55
21.60,264327.13,309480.74,773.99
21.70,264327.28,309481.53,774.45
21.80,264327.42,309482.32,774.92
21.90,264327.56,309483.11,775.39
22.00,264327.70,309483.89,775.89
22.10,264327.85,309484.68,776.38
22.20,264328.00,309485.46,776.89
22.30,264328.16,309486.23,777.40
22.40,264328.33,309487.01,777.90
22.50,264328.51,309487.80,778.40
22.60,264328.68,309488.59,778.91
22.70,264328.86,309489.37,779.42
22.80,264329.04,309490.16,779.92
22.90,264329.22,309490.95,780.42
23.00,264329.39,309491.73,780.93
23.10,264329.55,309492.52,781.43
23.20,264329.71,309493.31,781.93
23.30,264329.89,309494.09,782.43
23.40,264330.05,309494.87,782.93
23.50,264330.21,309495.66,783.43
23.60,264330.37,309496.45,783.94
23.70,264330.53,309497.24,784.44
23.80,264330.68,309498.03,784.94
23.90,264330.84,309498.82,785.44
24.00,264331.00,309499.61,785.94
24.10,264331.15,309500.40,786.45
24.20,264331.32,309501.19,786.95
24.30,264331.48,309501.97,787.45
24.40,264331.65,309502.76,787.95
24.50,264331.81,309503.54,788.44
24.60,264331.97,309504.31,788.93
24.70,264332.13,309505.09,789.44
24.80,264332.30,309505.87,789.94
24.90,264332.47,309506.64,790.44
25.00,264332.65,309507.40,790.95
25.10,264332.85,309508.16,791.46
25.20,264333.03,309508.92,791.96
25.30,264333.21,309509.68,792.47
25.40,264333.40,309510.46,792.97
25.50,264333.59,309511.23,793.48
25.60,264333.78,309512.01,793.98
25.70,264333.96,309512.80,794.49
25.80,264334.14,309513.58,795.00
25.90,264334.32,309514.36,795.50
26.00,264334.50,309515.15,796.00
26.10,264334.68,309515.93,796.48
26.20,264334.88,309516.70,796.97
26.30,264335.08,309517.48,797.46
26.40,264335.29,309518.26,797.95
26.50,264335.50,309519.03,798.46
26.60,264335.72,309519.80,798.97
26.70,264335.95,309520.56,799.47
26.80,264336.19,309521.33,799.98
26.90,264336.43,309522.10,800.49
27.00,264336.67,309522.87,800.99
27.10,264336.90,309523.64,801.49
27.20,264337.13,309524.40,802.00
27.30,264337.37,309525.16,802.50
