time,x,y,z
28.90,264476.96,309491.73,783.43
29.00,264477.69,309492.07,783.17
29.10,264478.43,309492.40,782.89
29.20,264479.18,309492.72,782.61
29.30,264479.92,309493.03,782.33
29.40,264480.66,309493.35,782.04
29.50,264481.41,309493.66,781.75
29.60,264482.16,309493.96,781.45
29.70,264482.91,309494.27,781.15
29.80,264483.65,309494.58,780.85
29.90,264484.40,309494.89,780.55
30.00,264485.15,309495.20,780.24
30.10,264485.90,309495.51,779.93
30.20,264486.64,309495.82,779.62
30.30,264487.39,309496.13,779.31
0.10,264299.98,309370.00,741.20
0.20,264299.94,309370.01,741.17
0.30,264299.87,309370.03,741.12
0.40,264299.78,309370.05,741.06
0.50,264299.66,309370.09,741.00
0.60,264299.52,309370.14,740.91
0.70,264299.36,309370.20,740.81
0.80,264299.17,309370.26,740.70
0.90,264298.97,309370.34,740.59
1.00,264298.76,309370.42,740.46
1.10,264298.52,309370.52,740.33
1.20,264298.26,309370.62,740.19
1.30,264297.97,309370.72,740.04
1.40,264297.65,309370.83,739.87
1.50,264297.30,309370.93,739.69
1.60,264296.92,309371.05,739.49
1.70,264296.51,309371.17,739.29
1.80,264296.08,309371.31,739.07
1.90,264295.63,309371.46,738.84
2.00,264295.16,309371.60,738.59
2.10,264294.66,309371.75,738.33
2.20,264294.13,309371.90,738.07
2.30,264293.57,309372.07,737.80
2.40,264292.98,309372.24,737.52
2.50,264292.36,309372.41,737.24
2.60,264291.72,309372.59,736.95
2.70,264291.04,309372.78,736.65
2.80,264290.34,309372.98,736.34
2.90,264289.60,309373.18,736.01
3.00,264288.84,309373.39,735.68
3.10,264288.05,309373.61,735.33
3.20,264287.27,309373.82,734.97
3.30,264286.48,309374.03,734.60
3.40,264285.69,309374.25,734.22
3.50,264284.91,309374.46,733.84
3.60,264284.13,309374.67,733.45
3.70,264283.34,309374.89,733.05
3.80,264282.56,309375.11,732.65
3.90,264281.77,309375.33,732.23
4.00,264280.99,309375.55,731.80
4.10,264280.21,309375.77,731.37
4.20,264279.42,309375.98,730.94
4.30,264278.63,309376.20,730.49
4.40,264277.85,309376.41,730.03
4.50,264277.06,309376.62,729.56
4.60,264276.27,309376.82,729.08
4.70,264275.48,309377.02,728.60
4.80,264274.69,309377.23,728.10
4.90,264273.90,309377.43,727.59
5.00,264273.11,309377.63,727.09
5.10,264272.33,309377.83,726.59
5.20,264271.54,309378.03,726.08
5.30,264270.75,309378.24,725.58
5.40,264269.96,309378.44,725.07
5.50,264269.17,309378.64,724.56
5.60,264268.38,309378.85,724.06
5.70,264267.60,309379.06,723.55
5.80,264266.81,309379.26,723.05
5.90,264266.02,309379.48,722.54
6.00,264265.24,309379.70,722.04
6.10,264264.46,309379.93,721.53
6.20,264263.67,309380.15,721.03
6.30,264262.89,309380.38,720.53
6.40,264262.10,309380.61,720.02
6.50,264261.32,309380.83,719.51
6.60,264260.54,309381.06,719.00
6.70,264259.76,309381.29,718.50
6.80,264258.98,309381.51,718.00
6.90,264258.19,309381.72,717.49
7.00,264257.41,309381.93,716.99
7.10,264256.62,309382.14,716.48
7.20,264255.83,309382.35,715.98
7.30,264255.05,309382.56,715.47
7.40,264254.26,309382.77,714.97
7.50,264253.47,309382.99,714.46
7.60,264252.69,309383.20,713.95
7.70,264251.92,309383.43,713.45
7.80,264251.13,309383.65,712.95
7.90,264250.35,309383.88,712.44
8.00,264249.57,309384.10,711.94
8.10,264248.78,309384.32,711.44
8.20,264248.00,309384.54,710.93
8.30,264247.22,309384.77,710.43
8.40,264246.44,309384.99,709.92
8.50,264245.66,309385.22,709.42
