time,x,y,z
4.50,264299.76,309377.30,734.71
4.60,264299.78,309377.61,734.45
4.70,264299.79,309377.91,734.19
4.80,264299.80,309378.22,733.94
4.90,264299.81,309378.54,733.67
5.00,264299.84,309378.86,733.41
5.10,264299.87,309379.18,733.13
5.20,264299.91,309379.49,732.85
5.30,264299.94,309379.81,732.55
5.40,264299.96,309380.14,732.26
5.50,264299.99,309380.48,731.95
0.10,264299.99,309370.00,741.21
0.20,264299.97,309370.01,741.21
0.30,264299.94,309370.03,741.20
0.40,264299.88,309370.05,741.19
0.50,264299.80,309370.09,741.15
0.60,264299.70,309370.13,741.11
0.70,264299.59,309370.18,741.06
0.80,264299.45,309370.24,741.00
0.90,264299.31,309370.31,740.93
1.00,264299.16,309370.39,740.86
1.10,264299.01,309370.47,740.78
1.20,264298.85,309370.56,740.71
1.30,264298.67,309370.66,740.63
1.40,264298.47,309370.77,740.54
1.50,264298.27,309370.89,740.45
1.60,264298.05,309371.02,740.36
1.70,264297.81,309371.16,740.26
1.80,264297.55,309371.31,740.16
1.90,264297.29,309371.46,740.04
2.00,264297.02,309371.61,739.92
2.10,264296.73,309371.77,739.79
2.20,264296.42,309371.93,739.66
2.30,264296.10,309372.11,739.53
2.40,264295.76,309372.28,739.40
2.50,264295.40,309372.47,739.25
2.60,264295.02,309372.67,739.10
2.70,264294.63,309372.89,738.93
2.80,264294.23,309373.12,738.74
2.90,264293.82,309373.35,738.55
3.00,264293.40,309373.59,738.36
3.10,264292.96,309373.84,738.16
3.20,264292.49,309374.09,737.95
3.30,264292.02,309374.36,737.74
3.40,264291.53,309374.63,737.52
3.50,264291.03,309374.90,737.29
3.60,264290.53,309375.18,737.06
3.70,264290.00,309375.46,736.85
3.80,264289.47,309375.75,736.63
3.90,264288.91,309376.04,736.43
4.00,264288.35,309376.34,736.22
4.10,264287.79,309376.65,736.02
4.20,264287.22,309376.98,735.81
4.30,264286.65,309377.31,735.58
4.40,264286.06,309377.65,735.35
4.50,264285.47,309378.00,735.10
4.60,264284.86,309378.36,734.84
4.70,264284.24,309378.73,734.57
4.80,264283.61,309379.11,734.30
4.90,264282.98,309379.49,734.02
5.00,264282.34,309379.88,733.73
5.10,264281.69,309380.28,733.44
5.20,264281.03,309380.68,733.15
5.30,264280.37,309381.09,732.86
5.40,264279.68,309381.49,732.56
5.50,264278.99,309381.91,732.25
5.60,264278.30,309382.33,731.94
5.70,264277.61,309382.75,731.63
5.80,264276.92,309383.18,731.31
5.90,264276.23,309383.61,730.99
6.00,264275.54,309384.04,730.65
6.10,264274.86,309384.46,730.31
6.20,264274.18,309384.88,729.97
6.30,264273.51,309385.32,729.62
6.40,264272.83,309385.76,729.28
6.50,264272.15,309386.21,728.92
6.60,264271.49,309386.66,728.55
6.70,264270.82,309387.11,728.17
6.80,264270.15,309387.57,727.77
6.90,264269.48,309388.02,727.37
7.00,264268.81,309388.48,726.99
7.10,264268.13,309388.92,726.60
7.20,264267.46,309389.38,726.21
7.30,264266.81,309389.83,725.82
7.40,264266.14,309390.29,725.42
7.50,264265.48,309390.74,725.03
7.60,264264.81,309391.20,724.63
7.70,264264.14,309391.66,724.22
7.80,264263.48,309392.12,723.81
7.90,264262.83,309392.58,723.41
8.00,264262.17,309393.04,722.99
8.10,264261.50,309393.51,722.57
8.20,264260.85,309393.98,722.15
8.30,264260.20,309394.45,721.72
8.40,264259.55,309394.93,721.28
8.50,264258.89,309395.40,720.84
8.60,264258.23,309395.87,720.38
8.70,264257.58,309396.34,719.91
8.80,264256.92,309396.81,719.45
8.90,264256.26,309397.27,718.99
9.00,264255.60,309397.74,718.52
9.10,264254.95,309398.22,718.06
9.20,264254.30,309398.69,717.60
9.30,264253.64,309399.17,717.13
9.40,264252.99,309399.64,716.64
9.50,264252.33,309400.11,716.16
9.60,264251.67,309400.58,715.67
9.70,264251.01,309401.04,715.19
9.80,264250.35,309401.51,714.71
9.90,264249.69,309401.97,714.22
10.00,264249.02,309402.43,713.71
10.10,264248.36,309402.89,713.21
10.20,264247.69,309403.35,712.71
10.30,264247.03,309403.80,712.20
10.40,264246.36,309404.26,711.70
10.50,264245.69,309404.71,711.20
10.60,264245.03,309405.16,710.69
10.70,264244.36,309405.61,710.19
10.80,264243.69,309406.06,709.69
10.90,264243.03,309406.52,709.20
