time,x,y,z
7.10,264314.03,309397.24,739.43
7.20,264314.45,309397.93,739.39
7.30,264314.88,309398.62,739.35
7.40,264315.31,309399.30,739.32
7.50,264315.74,309399.97,739.29
7.60,264316.18,309400.65,739.25
7.70,264316.63,309401.32,739.21
7.80,264317.08,309401.99,739.17
7.90,264317.53,309402.66,739.12
0.10,264300.01,309370.00,741.21
0.20,264300.03,309370.01,741.20
0.30,264300.05,309370.01,741.19
0.40,264300.09,309370.02,741.19
0.50,264300.13,309370.03,741.17
0.60,264300.18,309370.04,741.16
0.70,264300.25,309370.06,741.15
0.80,264300.32,309370.08,741.16
0.90,264300.41,309370.10,741.17
1.00,264300.51,309370.14,741.19
1.10,264300.60,309370.18,741.22
1.20,264300.71,309370.22,741.26
1.30,264300.82,309370.26,741.30
1.40,264300.93,309370.31,741.33
1.50,264301.04,309370.35,741.37
1.60,264301.16,309370.39,741.39
1.70,264301.27,309370.43,741.41
1.80,264301.40,309370.48,741.43
1.90,264301.53,309370.53,741.44
2.00,264301.66,309370.58,741.45
2.10,264301.80,309370.63,741.48
2.20,264301.97,309370.69,741.51
2.30,264302.15,309370.75,741.57
2.40,264302.36,309370.82,741.63
2.50,264302.59,309370.88,741.68
2.60,264302.82,309370.94,741.74
2.70,264303.06,309371.00,741.81
2.80,264303.31,309371.07,741.87
2.90,264303.57,309371.14,741.93
3.00,264303.85,309371.21,741.99
3.10,264304.15,309371.28,742.05
3.20,264304.46,309371.34,742.11
3.30,264304.76,309371.41,742.17
3.40,264305.08,309371.49,742.24
3.50,264305.42,309371.58,742.30
3.60,264305.77,309371.67,742.37
3.70,264306.12,309371.76,742.45
3.80,264306.49,309371.87,742.53
3.90,264306.86,309371.97,742.62
4.00,264307.24,309372.08,742.71
4.10,264307.63,309372.18,742.81
4.20,264308.01,309372.29,742.90
4.30,264308.41,309372.41,742.99
4.40,264308.81,309372.54,743.08
4.50,264309.24,309372.68,743.17
4.60,264309.68,309372.83,743.25
4.70,264310.14,309372.99,743.33
4.80,264310.61,309373.16,743.40
4.90,264311.09,309373.33,743.47
5.00,264311.58,309373.51,743.55
5.10,264312.08,309373.69,743.62
5.20,264312.59,309373.87,743.67
5.30,264313.10,309374.06,743.71
5.40,264313.62,309374.24,743.74
5.50,264314.14,309374.42,743.77
5.60,264314.68,309374.61,743.81
5.70,264315.25,309374.81,743.85
5.80,264315.83,309375.00,743.89
5.90,264316.43,309375.20,743.94
6.00,264317.04,309375.40,743.99
6.10,264317.66,309375.60,744.04
6.20,264318.28,309375.81,744.08
6.30,264318.91,309376.01,744.11
6.40,264319.55,309376.22,744.13
6.50,264320.19,309376.43,744.15
6.60,264320.85,309376.64,744.16
6.70,264321.51,309376.85,744.16
6.80,264322.18,309377.05,744.17
6.90,264322.87,309377.26,744.18
7.00,264323.58,309377.47,744.18
7.10,264324.30,309377.69,744.18
7.20,264325.03,309377.91,744.20
7.30,264325.76,309378.14,744.22
7.40,264326.49,309378.38,744.24
7.50,264327.23,309378.63,744.26
7.60,264327.98,309378.89,744.29
7.70,264328.75,309379.14,744.32
7.80,264329.52,309379.39,744.35
7.90,264330.28,309379.63,744.39
8.00,264331.05,309379.86,744.43
8.10,264331.82,309380.09,744.46
8.20,264332.60,309380.32,744.49
8.30,264333.38,309380.54,744.49
8.40,264334.16,309380.76,744.47
8.50,264334.93,309380.99,744.44
8.60,264335.70,309381.23,744.41
8.70,264336.47,309381.46,744.37
8.80,264337.24,309381.69,744.34
8.90,264338.01,309381.92,744.30
9.00,264338.78,309382.16,744.27
9.10,264339.55,309382.39,744.25
