time,x,y,z
9.50,264298.44,309366.71,728.66
9.60,264298.48,309366.65,728.33
9.70,264298.51,309366.59,727.97
9.80,264298.55,309366.54,727.60
0.10,264300.01,309370.00,741.21
0.20,264300.02,309370.00,741.21
0.30,264300.03,309370.01,741.21
0.40,264300.05,309370.01,741.19
0.50,264300.08,309370.01,741.17
0.60,264300.10,309370.02,741.13
0.70,264300.12,309370.03,741.08
0.80,264300.13,309370.04,741.02
0.90,264300.15,309370.05,740.95
1.00,264300.16,309370.07,740.88
1.10,264300.17,309370.09,740.81
1.20,264300.18,309370.12,740.74
1.30,264300.17,309370.16,740.66
1.40,264300.17,309370.20,740.59
1.50,264300.16,309370.23,740.52
1.60,264300.12,309370.25,740.46
1.70,264300.09,309370.28,740.41
1.80,264300.05,309370.32,740.37
1.90,264300.01,309370.36,740.32
2.00,264299.97,309370.42,740.26
2.10,264299.92,309370.48,740.20
2.20,264299.85,309370.54,740.14
2.30,264299.79,309370.59,740.08
2.40,264299.72,309370.65,740.01
2.50,264299.63,309370.73,739.93
2.60,264299.54,309370.80,739.85
2.70,264299.46,309370.87,739.76
2.80,264299.38,309370.94,739.68
2.90,264299.32,309371.01,739.58
3.00,264299.26,309371.09,739.47
3.10,264299.21,309371.17,739.37
3.20,264299.16,309371.24,739.27
3.30,264299.12,309371.31,739.18
3.40,264299.08,309371.37,739.09
3.50,264299.04,309371.43,739.00
3.60,264299.02,309371.49,738.90
3.70,264299.00,309371.55,738.80
3.80,264298.98,309371.61,738.69
3.90,264298.96,309371.67,738.58
4.00,264298.93,309371.73,738.46
4.10,264298.90,309371.79,738.34
4.20,264298.86,309371.85,738.22
4.30,264298.81,309371.90,738.09
4.40,264298.78,309371.95,737.96
4.50,264298.74,309372.00,737.83
4.60,264298.72,309372.05,737.70
4.70,264298.69,309372.10,737.56
4.80,264298.66,309372.15,737.42
4.90,264298.64,309372.20,737.29
5.00,264298.61,309372.24,737.16
5.10,264298.57,309372.30,737.03
5.20,264298.53,309372.36,736.91
5.30,264298.49,309372.42,736.80
5.40,264298.45,309372.49,736.68
5.50,264298.41,309372.56,736.56
5.60,264298.38,309372.63,736.42
5.70,264298.34,309372.69,736.29
5.80,264298.29,309372.75,736.16
5.90,264298.23,309372.82,736.04
6.00,264298.16,309372.88,735.90
6.10,264298.08,309372.94,735.76
6.20,264298.00,309373.02,735.61
6.30,264297.92,309373.10,735.45
6.40,264297.83,309373.19,735.29
6.50,264297.72,309373.29,735.15
6.60,264297.60,309373.41,735.01
6.70,264297.50,309373.53,734.88
6.80,264297.40,309373.65,734.74
6.90,264297.29,309373.77,734.60
7.00,264297.18,309373.90,734.45
7.10,264297.07,309374.04,734.28
7.20,264296.95,309374.19,734.11
7.30,264296.82,309374.33,733.93
7.40,264296.67,309374.47,733.76
7.50,264296.52,309374.61,733.60
7.60,264296.38,309374.74,733.42
7.70,264296.23,309374.89,733.25
7.80,264296.09,309375.04,733.09
7.90,264295.95,309375.19,732.93
8.00,264295.81,309375.36,732.78
8.10,264295.66,309375.53,732.62
8.20,264295.51,309375.70,732.46
8.30,264295.36,309375.87,732.31
8.40,264295.21,309376.03,732.16
8.50,264295.07,309376.18,732.00
8.60,264294.91,309376.33,731.86
8.70,264294.75,309376.47,731.71
8.80,264294.58,309376.62,731.56
8.90,264294.41,309376.79,731.42
9.00,264294.25,309376.96,731.28
9.10,264294.09,309377.14,731.15
9.20,264293.93,309377.32,731.03
9.30,264293.78,309377.51,730.91
9.40,264293.62,309377.70,730.78
9.50,264293.44,309377.90,730.66
9.60,264293.26,309378.09,730.54
9.70,264293.07,309378.28,730.43
9.80,264292.90,309378.48,730.31
9.90,264292.72,309378.67,730.19
10.00,264292.54,309378.86,730.07
10.10,264292.36,309379.06,729.95
10.20,264292.16,309379.25,729.84
10.30,264291.95,309379.45,729.73
10.40,264291.74,309379.66,729.62
10.50,264291.53,309379.86,729.52
10.60,264291.32,309380.07,729.43
10.70,264291.12,309380.27,729.34
10.80,264290.92,309380.47,729.25
10.90,264290.72,309380.66,729.17
11.00,264290.52,309380.86,729.10
11.10,264290.32,309381.06,729.03
11.20,264290.12,309381.24,728.97
11.30,264289.92,309381.42,728.89
11.40,264289.72,309381.60,728.81
11.50,264289.53,309381.78,728.73
11.60,264289.34,309381.97,728.66
11.70,264289.15,309382.16,728.59
11.80,264288.98,309382.36,728.51
11.90,264288.81,309382.57,728.44
12.00,264288.63,309382.79,728.37
