time,x,y,z
7.30,264263.41,309387.84,715.37
7.40,264262.67,309388.17,714.86
7.50,264261.94,309388.51,714.35
7.60,264261.21,309388.85,713.85
7.70,264260.47,309389.18,713.35
7.80,264259.73,309389.53,712.84
0.10,264300.01,309370.01,741.22
0.20,264300.04,309370.03,741.24
0.30,264300.07,309370.07,741.26
0.40,264300.10,309370.11,741.28
0.50,264300.14,309370.17,741.31
0.60,264300.17,309370.24,741.34
0.70,264300.21,309370.33,741.39
0.80,264300.25,309370.44,741.44
0.90,264300.30,309370.57,741.50
1.00,264300.35,309370.70,741.57
1.10,264300.41,309370.85,741.63
1.20,264300.48,309371.01,741.70
1.30,264300.56,309371.17,741.77
1.40,264300.64,309371.35,741.84
1.50,264300.71,309371.54,741.93
1.60,264300.80,309371.74,742.03
1.70,264300.89,309371.96,742.13
1.80,264300.99,309372.19,742.25
1.90,264301.09,309372.44,742.36
2.00,264301.19,309372.71,742.49
2.10,264301.30,309372.98,742.61
2.20,264301.42,309373.25,742.75
2.30,264301.55,309373.54,742.89
2.40,264301.70,309373.84,743.03
2.50,264301.85,309374.15,743.17
2.60,264302.00,309374.47,743.30
2.70,264302.17,309374.81,743.44
2.80,264302.35,309375.16,743.56
2.90,264302.53,309375.52,743.67
3.00,264302.73,309375.90,743.79
3.10,264302.93,309376.29,743.91
3.20,264303.15,309376.69,744.03
3.30,264303.38,309377.11,744.15
3.40,264303.62,309377.55,744.28
3.50,264303.87,309378.00,744.42
3.60,264304.13,309378.45,744.55
3.70,264304.39,309378.92,744.68
3.80,264304.66,309379.40,744.80
3.90,264304.95,309379.89,744.93
4.00,264305.24,309380.38,745.05
4.10,264305.55,309380.87,745.18
4.20,264305.87,309381.37,745.30
4.30,264306.21,309381.88,745.42
4.40,264306.56,309382.39,745.54
4.50,264306.92,309382.92,745.65
4.60,264307.29,309383.47,745.77
4.70,264307.68,309384.03,745.89
4.80,264308.07,309384.59,746.02
4.90,264308.48,309385.16,746.13
5.00,264308.88,309385.74,746.24
5.10,264309.30,309386.32,746.35
5.20,264309.72,309386.91,746.44
5.30,264310.15,309387.51,746.53
5.40,264310.58,309388.12,746.63
5.50,264311.03,309388.73,746.72
5.60,264311.48,309389.36,746.81
5.70,264311.95,309389.99,746.91
5.80,264312.43,309390.63,747.01
5.90,264312.92,309391.28,747.12
6.00,264313.41,309391.91,747.24
6.10,264313.91,309392.55,747.37
6.20,264314.41,309393.18,747.52
6.30,264314.91,309393.82,747.66
6.40,264315.41,309394.45,747.80
6.50,264315.91,309395.08,747.94
6.60,264316.41,309395.71,748.07
6.70,264316.90,309396.34,748.21
6.80,264317.41,309396.97,748.34
6.90,264317.93,309397.59,748.46
7.00,264318.44,309398.22,748.58
7.10,264318.94,309398.85,748.69
7.20,264319.45,309399.47,748.80
7.30,264319.94,309400.11,748.89
7.40,264320.44,309400.74,748.98
