time,x,y,z
19.00,264178.93,309328.63,657.31
19.10,264178.16,309328.38,656.81
19.20,264177.39,309328.14,656.31
19.30,264176.63,309327.89,655.80
19.40,264175.86,309327.65,655.31
19.50,264175.09,309327.41,654.81
19.60,264174.32,309327.16,654.31
19.70,264173.56,309326.92,653.81
19.80,264172.79,309326.67,653.31
19.90,264172.02,309326.43,652.81
20.00,264171.26,309326.17,652.31
20.10,264170.50,309325.92,651.80
20.20,264169.74,309325.68,651.30
20.30,264168.96,309325.43,650.80
20.40,264168.19,309325.19,650.30
0.10,264300.00,309370.00,741.21
0.20,264300.00,309370.00,741.21
0.30,264300.00,309370.02,741.22
0.40,264300.01,309370.04,741.21
0.50,264300.03,309370.07,741.20
0.60,264300.06,309370.09,741.19
0.70,264300.10,309370.10,741.18
0.80,264300.15,309370.12,741.16
0.90,264300.21,309370.14,741.15
1.00,264300.28,309370.17,741.14
1.10,264300.35,309370.20,741.14
1.20,264300.43,309370.23,741.14
1.30,264300.51,309370.25,741.14
1.40,264300.59,309370.28,741.14
1.50,264300.66,309370.31,741.15
1.60,264300.73,309370.34,741.15
1.70,264300.80,309370.37,741.14
1.80,264300.88,309370.40,741.14
1.90,264300.96,309370.42,741.13
2.00,264301.06,309370.43,741.13
2.10,264301.17,309370.44,741.13
2.20,264301.29,309370.45,741.12
2.30,264301.42,309370.46,741.11
2.40,264301.55,309370.48,741.10
2.50,264301.69,309370.51,741.10
2.60,264301.83,309370.54,741.12
2.70,264301.96,309370.58,741.13
2.80,264302.10,309370.62,741.13
2.90,264302.24,309370.67,741.13
3.00,264302.38,309370.73,741.12
3.10,264302.52,309370.79,741.09
3.20,264302.66,309370.84,741.05
3.30,264302.80,309370.90,741.02
3.40,264302.96,309370.95,740.98
3.50,264303.11,309371.00,740.93
3.60,264303.27,309371.05,740.87
3.70,264303.42,309371.10,740.81
3.80,264303.57,309371.16,740.76
3.90,264303.73,309371.22,740.71
4.00,264303.90,309371.28,740.67
4.10,264304.07,309371.34,740.63
4.20,264304.25,309371.40,740.58
4.30,264304.42,309371.45,740.51
4.40,264304.59,309371.51,740.44
4.50,264304.75,309371.57,740.38
4.60,264304.91,309371.63,740.30
4.70,264305.07,309371.70,740.23
4.80,264305.25,309371.76,740.15
4.90,264305.42,309371.81,740.06
5.00,264305.59,309371.85,739.96
5.10,264305.78,309371.90,739.85
5.20,264305.97,309371.95,739.73
5.30,264306.17,309372.00,739.62
5.40,264306.38,309372.05,739.51
5.50,264306.59,309372.10,739.40
5.60,264306.81,309372.15,739.30
5.70,264307.04,309372.20,739.18
5.80,264307.27,309372.26,739.07
5.90,264307.50,309372.31,738.95
6.00,264307.74,309372.37,738.84
6.10,264307.98,309372.42,738.74
6.20,264308.22,309372.48,738.64
6.30,264308.47,309372.53,738.54
6.40,264308.72,309372.57,738.44
6.50,264308.97,309372.62,738.34
