time,x,y,z
5.10,264304.05,309380.67,736.58
5.20,264304.17,309381.10,736.40
5.30,264304.28,309381.53,736.22
5.40,264304.39,309381.97,736.05
5.50,264304.48,309382.41,735.86
5.60,264304.57,309382.86,735.67
5.70,264304.65,309383.33,735.47
5.80,264304.72,309383.80,735.28
5.90,264304.79,309384.27,735.09
6.00,264304.86,309384.76,734.91
6.10,264304.95,309385.26,734.73
6.20,264305.04,309385.77,734.55
6.30,264305.13,309386.30,734.36
6.40,264305.23,309386.84,734.16
6.50,264305.32,309387.39,733.96
6.60,264305.42,309387.94,733.76
6.70,264305.51,309388.50,733.57
0.10,264300.00,309370.00,741.21
0.20,264300.01,309370.01,741.22
0.30,264300.02,309370.01,741.22
0.40,264300.04,309370.01,741.22
0.50,264300.05,309370.03,741.23
0.60,264300.06,309370.04,741.25
0.70,264300.06,309370.08,741.27
0.80,264300.05,309370.13,741.28
0.90,264300.05,309370.19,741.29
1.00,264300.05,309370.26,741.30
1.10,264300.05,309370.34,741.33
1.20,264300.05,309370.42,741.35
1.30,264300.05,309370.50,741.36
1.40,264300.07,309370.59,741.38
1.50,264300.10,309370.69,741.41
1.60,264300.13,309370.82,741.44
1.70,264300.18,309370.96,741.47
1.80,264300.23,309371.11,741.49
1.90,264300.29,309371.27,741.52
2.00,264300.36,309371.44,741.55
2.10,264300.44,309371.62,741.58
2.20,264300.51,309371.82,741.61
2.30,264300.58,309372.02,741.62
2.40,264300.64,309372.22,741.62
2.50,264300.70,309372.44,741.61
2.60,264300.77,309372.67,741.61
2.70,264300.85,309372.90,741.62
2.80,264300.93,309373.14,741.62
2.90,264301.00,309373.40,741.63
3.00,264301.10,309373.66,741.65
3.10,264301.20,309373.92,741.65
3.20,264301.32,309374.19,741.65
3.30,264301.44,309374.47,741.65
3.40,264301.55,309374.75,741.66
3.50,264301.66,309375.03,741.69
3.60,264301.79,309375.34,741.72
3.70,264301.91,309375.65,741.74
3.80,264302.04,309375.96,741.76
3.90,264302.16,309376.28,741.78
4.00,264302.29,309376.61,741.79
4.10,264302.41,309376.94,741.79
4.20,264302.54,309377.27,741.81
4.30,264302.66,309377.60,741.82
4.40,264302.79,309377.95,741.84
4.50,264302.92,309378.31,741.87
4.60,264303.05,309378.67,741.89
4.70,264303.17,309379.02,741.92
4.80,264303.31,309379.38,741.95
4.90,264303.45,309379.76,741.99
5.00,264303.59,309380.14,742.02
5.10,264303.74,309380.54,742.06
5.20,264303.88,309380.94,742.08
5.30,264304.04,309381.36,742.10
5.40,264304.19,309381.79,742.14
5.50,264304.34,309382.24,742.18
5.60,264304.47,309382.68,742.22
5.70,264304.63,309383.13,742.27
5.80,264304.79,309383.57,742.30
5.90,264304.95,309384.01,742.34
6.00,264305.11,309384.45,742.39
6.10,264305.28,309384.91,742.46
6.20,264305.44,309385.38,742.53
6.30,264305.60,309385.86,742.61
6.40,264305.77,309386.34,742.70
6.50,264305.95,309386.84,742.79
6.60,264306.14,309387.33,742.88
6.70,264306.33,309387.83,742.97
6.80,264306.52,309388.33,743.04
6.90,264306.72,309388.84,743.11
7.00,264306.92,309389.36,743.18
7.10,264307.13,309389.88,743.24
7.20,264307.35,309390.41,743.29
7.30,264307.59,309390.95,743.33
7.40,264307.81,309391.49,743.38
7.50,264308.03,309392.04,743.44
7.60,264308.25,309392.59,743.50
7.70,264308.46,309393.14,743.55
7.80,264308.68,309393.70,743.60
7.90,264308.91,309394.27,743.65
8.00,264309.14,309394.84,743.69
8.10,264309.38,309395.42,743.73
8.20,264309.61,309396.01,743.77
8.30,264309.83,309396.60,743.81
8.40,264310.05,309397.18,743.83
8.50,264310.25,309397.76,743.85
8.60,264310.45,309398.34,743.85
8.70,264310.65,309398.95,743.86
8.80,264310.84,309399.56,743.86
8.90,264311.05,309400.17,743.87
9.00,264311.28,309400.80,743.87
9.10,264311.51,309401.43,743.88
9.20,264311.74,309402.09,743.90
9.30,264311.98,309402.76,743.93
9.40,264312.21,309403.44,743.95
9.50,264312.44,309404.14,743.97
9.60,264312.66,309404.84,743.98
9.70,264312.89,309405.55,743.98
9.80,264313.13,309406.25,743.99
9.90,264313.38,309406.95,744.00
10.00,264313.63,309407.66,744.00
10.10,264313.89,309408.39,743.98
10.20,264314.13,309409.14,743.97
10.30,264314.39,309409.90,743.95
