time,x,y,z
9.70,264233.26,309375.61,702.01
9.80,264232.46,309375.72,701.51
9.90,264231.65,309375.84,701.00
10.00,264230.85,309375.95,700.49
10.10,264230.04,309376.07,699.99
10.20,264229.24,309376.18,699.48
10.30,264228.43,309376.30,698.98
10.40,264227.63,309376.42,698.47
10.50,264226.82,309376.55,697.96
10.60,264226.02,309376.68,697.46
10.70,264225.22,309376.82,696.95
10.80,264224.41,309376.97,696.45
10.90,264223.61,309377.11,695.94
11.00,264222.81,309377.26,695.44
11.10,264222.01,309377.40,694.93
0.10,264300.01,309370.00,741.20
0.20,264300.03,309370.00,741.19
0.30,264300.06,309370.01,741.18
0.40,264300.10,309370.01,741.17
0.50,264300.16,309370.01,741.16
0.60,264300.23,309370.02,741.15
0.70,264300.33,309370.02,741.13
0.80,264300.44,309370.03,741.12
0.90,264300.56,309370.04,741.10
1.00,264300.70,309370.06,741.09
1.10,264300.84,309370.09,741.07
1.20,264300.99,309370.12,741.04
1.30,264301.16,309370.15,741.01
1.40,264301.35,309370.19,740.97
1.50,264301.57,309370.23,740.92
1.60,264301.81,309370.28,740.88
1.70,264302.08,309370.33,740.84
1.80,264302.37,309370.38,740.81
1.90,264302.68,309370.44,740.78
2.00,264303.01,309370.51,740.75
2.10,264303.35,309370.58,740.71
2.20,264303.70,309370.65,740.67
2.30,264304.07,309370.73,740.62
2.40,264304.46,309370.80,740.58
2.50,264304.87,309370.88,740.53
2.60,264305.31,309370.96,740.47
2.70,264305.76,309371.05,740.41
2.80,264306.23,309371.13,740.35
2.90,264306.71,309371.21,740.29
3.00,264307.21,309371.29,740.23
3.10,264307.72,309371.36,740.17
3.20,264308.25,309371.44,740.11
3.30,264308.79,309371.51,740.05
3.40,264309.35,309371.58,739.98
3.50,264309.91,309371.65,739.91
3.60,264310.49,309371.73,739.83
3.70,264311.08,309371.82,739.74
3.80,264311.68,309371.90,739.65
3.90,264312.29,309371.99,739.57
4.00,264312.92,309372.07,739.47
4.10,264313.56,309372.16,739.38
4.20,264314.23,309372.24,739.29
4.30,264314.91,309372.32,739.19
4.40,264315.60,309372.41,739.10
4.50,264316.31,309372.51,739.01
