time,x,y,z
8.90,264293.62,309375.65,730.55
9.00,264293.54,309375.78,730.33
9.10,264293.47,309375.90,730.12
9.20,264293.40,309376.02,729.90
9.30,264293.33,309376.14,729.68
9.40,264293.27,309376.25,729.46
9.50,264293.20,309376.37,729.23
9.60,264293.13,309376.48,729.00
9.70,264293.06,309376.59,728.77
9.80,264293.00,309376.70,728.53
9.90,264292.93,309376.82,728.29
10.00,264292.85,309376.94,728.04
10.10,264292.78,309377.06,727.80
0.10,264299.99,309370.00,741.20
0.20,264299.97,309370.01,741.19
0.30,264299.95,309370.01,741.17
0.40,264299.92,309370.02,741.13
0.50,264299.87,309370.04,741.09
0.60,264299.82,309370.05,741.04
0.70,264299.75,309370.07,740.98
0.80,264299.67,309370.09,740.92
0.90,264299.59,309370.11,740.85
1.00,264299.50,309370.13,740.76
1.10,264299.41,309370.16,740.67
1.20,264299.31,309370.18,740.58
1.30,264299.20,309370.21,740.48
1.40,264299.09,309370.23,740.38
1.50,264298.97,309370.26,740.27
1.60,264298.84,309370.29,740.16
1.70,264298.68,309370.32,740.03
1.80,264298.51,309370.36,739.91
1.90,264298.32,309370.39,739.79
2.00,264298.13,309370.42,739.66
2.10,264297.92,309370.45,739.52
2.20,264297.71,309370.48,739.38
2.30,264297.50,309370.51,739.23
2.40,264297.27,309370.53,739.08
2.50,264297.04,309370.56,738.92
2.60,264296.80,309370.60,738.76
2.70,264296.55,309370.65,738.59
2.80,264296.30,309370.69,738.43
2.90,264296.04,309370.73,738.26
3.00,264295.77,309370.78,738.09
3.10,264295.50,309370.82,737.92
3.20,264295.23,309370.87,737.75
3.30,264294.94,309370.91,737.58
3.40,264294.64,309370.95,737.41
3.50,264294.34,309370.98,737.22
3.60,264294.03,309371.01,737.02
3.70,264293.71,309371.05,736.82
3.80,264293.39,309371.09,736.62
3.90,264293.05,309371.12,736.42
4.00,264292.71,309371.16,736.23
4.10,264292.36,309371.19,736.04
4.20,264291.99,309371.22,735.85
4.30,264291.61,309371.26,735.66
4.40,264291.21,309371.29,735.46
4.50,264290.82,309371.32,735.27
4.60,264290.43,309371.35,735.07
4.70,264290.04,309371.38,734.88
4.80,264289.64,309371.41,734.68
4.90,264289.23,309371.43,734.47
5.00,264288.81,309371.45,734.27
5.10,264288.38,309371.47,734.07
5.20,264287.93,309371.50,733.85
5.30,264287.48,309371.54,733.64
5.40,264287.02,309371.58,733.42
5.50,264286.55,309371.62,733.19
5.60,264286.07,309371.66,732.96
5.70,264285.59,309371.72,732.73
5.80,264285.11,309371.77,732.49
5.90,264284.62,309371.82,732.26
6.00,264284.13,309371.86,732.03
6.10,264283.62,309371.92,731.79
6.20,264283.11,309371.97,731.55
6.30,264282.59,309372.03,731.32
6.40,264282.05,309372.10,731.09
6.50,264281.51,309372.16,730.87
6.60,264280.98,309372.23,730.64
6.70,264280.44,309372.29,730.40
6.80,264279.89,309372.36,730.17
6.90,264279.33,309372.42,729.94
7.00,264278.77,309372.50,729.71
7.10,264278.19,309372.58,729.48
7.20,264277.60,309372.66,729.25
7.30,264277.01,309372.74,729.02
7.40,264276.41,309372.81,728.79
7.50,264275.81,309372.89,728.56
7.60,264275.20,309372.97,728.34
7.70,264274.59,309373.04,728.12
7.80,264273.99,309373.11,727.90
7.90,264273.38,309373.18,727.69
8.00,264272.76,309373.25,727.46
8.10,264272.13,309373.32,727.24
8.20,264271.49,309373.39,727.02
8.30,264270.84,309373.46,726.80
8.40,264270.19,309373.52,726.58
8.50,264269.54,309373.58,726.36
8.60,264268.88,309373.65,726.14
8.70,264268.22,309373.71,725.92
8.80,264267.56,309373.77,725.70
8.90,264266.89,309373.84,725.48
9.00,264266.21,309373.90,725.25
9.10,264265.54,309373.97,725.02
9.20,264264.87,309374.04,724.80
9.30,264264.20,309374.12,724.58
9.40,264263.53,309374.19,724.36
9.50,264262.85,309374.26,724.14
9.60,264262.17,309374.34,723.92
9.70,264261.50,309374.43,723.71
9.80,264260.83,309374.51,723.51
9.90,264260.15,309374.60,723.29
10.00,264259.46,309374.69,723.07
10.10,264258.78,309374.78,722.84
10.20,264258.08,309374.88,722.61
10.30,264257.38,309374.97,722.39
10.40,264256.67,309375.06,722.16
10.50,264255.96,309375.15,721.92
10.60,264255.24,309375.24,721.69
10.70,264254.52,309375.33,721.47
10.80,264253.79,309375.43,721.24
10.90,264253.06,309375.53,721.01
11.00,264252.32,309375.63,720.78
11.10,264251.58,309375.73,720.56
11.20,264250.83,309375.83,720.33
11.30,264250.09,309375.94,720.10
11.40,264249.34,309376.04,719.87
11.50,264248.58,309376.16,719.63
11.60,264247.82,309376.29,719.39
11.70,264247.05,309376.41,719.14
11.80,264246.29,309376.54,718.89
11.90,264245.51,309376.67,718.63
12.00,264244.74,309376.80,718.37
12.10,264243.97,309376.94,718.11
12.20,264243.22,309377.08,717.85
12.30,264242.45,309377.23,717.60
12.40,264241.68,309377.39,717.35
12.50,264240.90,309377.55,717.11
12.60,264240.13,309377.71,716.86
12.70,264239.35,309377.87,716.62
12.80,264238.57,309378.03,716.38
12.90,264237.79,309378.19,716.14
13.00,264237.00,309378.35,715.90
13.10,264236.22,309378.51,715.65
13.20,264235.44,309378.68,715.42
13.30,264234.66,309378.85,715.19
13.40,264233.88,309379.02,714.97
13.50,264233.10,309379.18,714.75
13.60,264232.32,309379.34,714.53
13.70,264231.53,309379.50,714.32
13.80,264230.75,309379.67,714.12
13.90,264229.97,309379.83,713.91
14.00,264229.19,309379.99,713.71
14.10,264228.42,309380.17,713.51
14.20,264227.64,309380.34,713.31
14.30,264226.85,309380.51,713.11
14.40,264226.07,309380.69,712.90
14.50,264225.29,309380.87,712.70
14.60,264224.51,309381.04,712.49
14.70,264223.74,309381.22,712.27
14.80,264222.97,309381.40,712.06
14.90,264222.20,309381.58,711.85
15.00,264221.42,309381.76,711.64
15.10,264220.64,309381.94,711.43
15.20,264219.86,309382.13,711.21
15.30,264219.08,309382.32,711.00
15.40,264218.30,309382.51,710.79
15.50,264217.52,309382.70,710.58
15.60,264216.74,309382.89,710.38
15.70,264215.95,309383.08,710.18
15.80,264215.18,309383.27,709.97
15.90,264214.40,309383.46,709.76
16.00,264213.63,309383.65,709.56
16.10,264212.86,309383.85,709.36
16.20,264212.08,309384.05,709.16
16.30,264211.32,309384.25,708.98
16.40,264210.56,309384.45,708.78
16.50,264209.81,309384.65,708.58
16.60,264209.05,309384.85,708.38
16.70,264208.30,309385.05,708.18
16.80,264207.56,309385.24,707.99
16.90,264206.82,309385.44,707.80
17.00,264206.07,309385.63,707.61
17.10,264205.33,309385.82,707.42
17.20,264204.60,309386.02,707.24
17.30,264203.87,309386.22,707.06
17.40,264203.15,309386.43,706.89
17.50,264202.42,309386.64,706.72
17.60,264201.69,309386.86,706.55
17.70,264200.95,309387.08,706.37
17.80,264200.22,309387.31,706.19
17.90,264199.49,309387.54,706.02
18.00,264198.76,309387.77,705.83
18.10,264198.02,309388.01,705.64
18.20,264197.28,309388.25,705.45
18.30,264196.55,309388.49,705.25
18.40,264195.81,309388.73,705.06
18.50,264195.07,309388.98,704.87
18.60,264194.33,309389.24,704.68
18.70,264193.59,309389.51,704.49
18.80,264192.87,309389.77,704.30
18.90,264192.15,309390.03,704.12
19.00,264191.44,309390.30,703.94
19.10,264190.73,309390.57,703.75
19.20,264190.02,309390.84,703.57
19.30,264189.31,309391.12,703.39
19.40,264188.60,309391.39,703.21
19.50,264187.90,309391.67,703.03
19.60,264187.21,309391.94,702.85
19.70,264186.51,309392.21,702.67
19.80,264185.81,309392.48,702.49
19.90,264185.11,309392.75,702.31
20.00,264184.41,309393.02,702.13
20.10,264183.72,309393.29,701.96
20.20,264183.04,309393.56,701.79
20.30,264182.36,309393.84,701.62
20.40,264181.68,309394.11,701.45
20.50,264181.01,309394.39,701.28
20.60,264180.35,309394.67,701.11
20.70,264179.68,309394.95,700.94
20.80,264179.02,309395.24,700.77
20.90,264178.35,309395.53,700.59
21.00,264177.69,309395.84,700.40
