time,x,y,z
4.90,264298.25,309373.26,734.98
5.00,264298.20,309373.36,734.70
5.10,264298.14,309373.46,734.41
5.20,264298.09,309373.56,734.10
5.30,264298.03,309373.67,733.79
5.40,264297.97,309373.78,733.47
5.50,264297.91,309373.90,733.15
5.60,264297.84,309374.01,732.83
5.70,264297.78,309374.13,732.51
5.80,264297.71,309374.24,732.19
5.90,264297.65,309374.35,731.86
6.00,264297.59,309374.45,731.54
6.10,264297.53,309374.55,731.20
6.20,264297.47,309374.66,730.86
6.30,264297.41,309374.77,730.50
6.40,264297.35,309374.88,730.14
0.10,264300.00,309369.99,741.21
0.20,264300.00,309369.98,741.22
0.30,264299.99,309369.96,741.22
0.40,264299.98,309369.95,741.21
0.50,264299.97,309369.95,741.21
0.60,264299.97,309369.95,741.20
0.70,264299.98,309369.95,741.19
0.80,264299.98,309369.95,741.17
0.90,264299.99,309369.94,741.14
1.00,264300.00,309369.92,741.11
1.10,264299.99,309369.90,741.08
1.20,264299.98,309369.87,741.04
1.30,264299.97,309369.85,741.01
1.40,264299.95,309369.82,740.96
1.50,264299.93,309369.79,740.91
1.60,264299.90,309369.77,740.86
1.70,264299.88,309369.75,740.81
1.80,264299.86,309369.75,740.75
1.90,264299.83,309369.75,740.69
2.00,264299.81,309369.75,740.63
2.10,264299.78,309369.74,740.56
2.20,264299.76,309369.74,740.49
2.30,264299.73,309369.74,740.40
2.40,264299.71,309369.74,740.30
2.50,264299.69,309369.75,740.20
2.60,264299.67,309369.75,740.08
2.70,264299.64,309369.75,739.95
2.80,264299.62,309369.75,739.84
2.90,264299.60,309369.75,739.73
3.00,264299.57,309369.74,739.61
3.10,264299.55,309369.72,739.49
3.20,264299.52,309369.69,739.38
3.30,264299.50,309369.67,739.26
3.40,264299.48,309369.65,739.14
3.50,264299.44,309369.62,739.01
3.60,264299.41,309369.59,738.88
3.70,264299.37,309369.55,738.77
3.80,264299.33,309369.51,738.67
3.90,264299.31,309369.47,738.57
4.00,264299.29,309369.45,738.45
4.10,264299.27,309369.45,738.33
4.20,264299.24,309369.44,738.19
4.30,264299.22,309369.43,738.05
4.40,264299.19,309369.43,737.91
4.50,264299.17,309369.42,737.76
4.60,264299.15,309369.40,737.60
4.70,264299.11,309369.39,737.43
4.80,264299.08,309369.38,737.25
4.90,264299.06,309369.38,737.06
5.00,264299.03,309369.39,736.87
5.10,264299.00,309369.38,736.69
5.20,264298.98,309369.37,736.52
5.30,264298.96,309369.34,736.36
5.40,264298.94,309369.30,736.20
5.50,264298.93,309369.25,736.02
5.60,264298.91,309369.21,735.83
5.70,264298.89,309369.17,735.63
5.80,264298.86,309369.12,735.43
5.90,264298.84,309369.08,735.22
6.00,264298.82,309369.03,735.01
6.10,264298.80,309368.98,734.79
6.20,264298.78,309368.93,734.57
6.30,264298.76,309368.87,734.34
6.40,264298.73,309368.80,734.11
