time,x,y,z
6.00,264298.02,309380.54,732.01
6.10,264298.01,309380.90,731.73
6.20,264297.99,309381.27,731.44
6.30,264297.98,309381.65,731.15
6.40,264297.97,309382.03,730.86
6.50,264297.95,309382.42,730.58
6.60,264297.93,309382.81,730.29
0.10,264300.00,309369.99,741.21
0.20,264300.00,309369.98,741.22
0.30,264300.01,309369.98,741.23
0.40,264300.01,309369.96,741.24
0.50,264300.02,309369.95,741.24
0.60,264300.02,309369.93,741.25
0.70,264300.03,309369.91,741.25
0.80,264300.04,309369.90,741.24
0.90,264300.04,309369.89,741.23
1.00,264300.03,309369.88,741.23
1.10,264300.03,309369.87,741.23
1.20,264300.04,309369.85,741.23
1.30,264300.05,309369.82,741.22
1.40,264300.07,309369.80,741.21
1.50,264300.10,309369.78,741.19
1.60,264300.13,309369.76,741.18
1.70,264300.16,309369.73,741.16
1.80,264300.18,309369.69,741.16
1.90,264300.21,309369.64,741.15
2.00,264300.23,309369.59,741.13
2.10,264300.26,309369.55,741.12
2.20,264300.30,309369.50,741.11
2.30,264300.33,309369.45,741.09
2.40,264300.35,309369.40,741.06
2.50,264300.37,309369.36,741.04
2.60,264300.36,309369.33,741.01
2.70,264300.34,309369.30,740.97
2.80,264300.33,309369.28,740.93
2.90,264300.33,309369.25,740.88
3.00,264300.34,309369.21,740.82
3.10,264300.35,309369.18,740.76
3.20,264300.36,309369.14,740.71
3.30,264300.37,309369.10,740.65
3.40,264300.38,309369.06,740.60
3.50,264300.38,309369.01,740.54
3.60,264300.39,309368.98,740.50
3.70,264300.40,309368.95,740.44
3.80,264300.42,309368.92,740.38
3.90,264300.43,309368.88,740.31
4.00,264300.44,309368.84,740.25
4.10,264300.47,309368.80,740.19
4.20,264300.51,309368.78,740.13
4.30,264300.55,309368.75,740.07
4.40,264300.59,309368.72,740.00
4.50,264300.64,309368.69,739.92
4.60,264300.69,309368.66,739.85
4.70,264300.75,309368.63,739.77
4.80,264300.80,309368.59,739.70
4.90,264300.84,309368.56,739.63
5.00,264300.89,309368.52,739.54
5.10,264300.94,309368.47,739.45
5.20,264300.98,309368.42,739.35
5.30,264301.02,309368.38,739.25
5.40,264301.05,309368.33,739.16
5.50,264301.08,309368.29,739.09
5.60,264301.09,309368.24,739.02
5.70,264301.09,309368.19,738.96
5.80,264301.09,309368.14,738.88
5.90,264301.09,309368.08,738.79
6.00,264301.09,309368.02,738.68
6.10,264301.08,309367.95,738.56
6.20,264301.07,309367.89,738.43
6.30,264301.06,309367.82,738.31
6.40,264301.05,309367.76,738.17
6.50,264301.04,309367.70,738.02
6.60,264301.02,309367.63,737.86
6.70,264301.00,309367.56,737.71
6.80,264300.97,309367.47,737.56
6.90,264300.94,309367.39,737.42
7.00,264300.91,309367.31,737.29
7.10,264300.87,309367.22,737.15
7.20,264300.84,309367.14,737.02
7.30,264300.79,309367.06,736.89
7.40,264300.74,309366.97,736.76
7.50,264300.68,309366.88,736.62
7.60,264300.63,309366.78,736.48
7.70,264300.61,309366.67,736.35
7.80,264300.60,309366.57,736.22
7.90,264300.58,309366.46,736.09
8.00,264300.54,309366.35,735.94
8.10,264300.51,309366.24,735.78
8.20,264300.47,309366.12,735.62
8.30,264300.42,309366.01,735.46
8.40,264300.37,309365.89,735.30
8.50,264300.31,309365.76,735.15
8.60,264300.26,309365.63,734.98
8.70,264300.20,309365.51,734.80
8.80,264300.14,309365.37,734.61
8.90,264300.08,309365.22,734.42
9.00,264300.01,309365.07,734.24
9.10,264299.93,309364.91,734.05
9.20,264299.86,309364.75,733.87
9.30,264299.77,309364.58,733.68
9.40,264299.69,309364.41,733.48
9.50,264299.62,309364.23,733.28
9.60,264299.54,309364.05,733.08
9.70,264299.47,309363.87,732.88
9.80,264299.39,309363.69,732.69
9.90,264299.31,309363.49,732.49
10.00,264299.22,309363.30,732.29
10.10,264299.14,309363.09,732.10
10.20,264299.05,309362.89,731.91
10.30,264298.96,309362.67,731.72
10.40,264298.87,309362.44,731.54
10.50,264298.77,309362.21,731.35
10.60,264298.65,309361.98,731.17
10.70,264298.52,309361.76,730.98
10.80,264298.38,309361.53,730.80
10.90,264298.23,309361.28,730.62
11.00,264298.09,309361.02,730.42
11.10,264297.95,309360.76,730.22
11.20,264297.81,309360.50,730.04
11.30,264297.66,309360.24,729.85
11.40,264297.51,309359.97,729.67
11.50,264297.36,309359.71,729.49
11.60,264297.21,309359.45,729.33
11.70,264297.06,309359.18,729.15
11.80,264296.91,309358.91,728.97
11.90,264296.77,309358.64,728.79
12.00,264296.62,309358.37,728.60
12.10,264296.47,309358.08,728.41
12.20,264296.33,309357.78,728.22
12.30,264296.19,309357.48,728.03
12.40,264296.04,309357.17,727.84
12.50,264295.89,309356.86,727.67
12.60,264295.73,309356.55,727.48
12.70,264295.58,309356.25,727.31
12.80,264295.43,309355.94,727.14
12.90,264295.27,309355.63,726.99
13.00,264295.12,309355.32,726.84
13.10,264294.98,309354.99,726.69
13.20,264294.85,309354.65,726.52
13.30,264294.72,309354.31,726.36
13.40,264294.59,309353.96,726.22
13.50,264294.46,309353.61,726.08
13.60,264294.34,309353.25,725.94
13.70,264294.21,309352.88,725.81
13.80,264294.08,309352.51,725.68
13.90,264293.95,309352.14,725.54
14.00,264293.81,309351.77,725.42
14.10,264293.66,309351.39,725.31
14.20,264293.52,309351.00,725.21
14.30,264293.38,309350.60,725.11
14.40,264293.24,309350.19,725.01
14.50,264293.10,309349.76,724.94
14.60,264292.95,309349.34,724.89
14.70,264292.80,309348.90,724.84
14.80,264292.65,309348.45,724.80
14.90,264292.49,309348.01,724.77
15.00,264292.33,309347.56,724.72
15.10,264292.16,309347.12,724.66
15.20,264292.00,309346.68,724.61
15.30,264291.84,309346.24,724.56
15.40,264291.68,309345.80,724.50
15.50,264291.53,309345.36,724.45
15.60,264291.38,309344.92,724.39
15.70,264291.23,309344.47,724.33
15.80,264291.09,309344.02,724.27
15.90,264290.94,309343.56,724.20
16.00,264290.81,309343.10,724.12
16.10,264290.66,309342.64,724.03
16.20,264290.51,309342.17,723.95
16.30,264290.35,309341.71,723.86
16.40,264290.18,309341.23,723.77
16.50,264289.99,309340.76,723.68
16.60,264289.80,309340.29,723.58
16.70,264289.62,309339.82,723.48
16.80,264289.45,309339.34,723.37
16.90,264289.28,309338.86,723.26
17.00,264289.09,309338.38,723.16
17.10,264288.91,309337.88,723.06
17.20,264288.72,309337.38,722.96
17.30,264288.51,309336.87,722.87
17.40,264288.29,309336.36,722.77
17.50,264288.05,309335.85,722.68
17.60,264287.80,309335.33,722.58
17.70,264287.55,309334.82,722.49
17.80,264287.29,309334.31,722.40
17.90,264287.02,309333.79,722.32
18.00,264286.75,309333.26,722.24
18.10,264286.48,309332.73,722.16
18.20,264286.20,309332.20,722.09
18.30,264285.92,309331.66,722.03
18.40,264285.64,309331.11,721.97
18.50,264285.37,309330.56,721.91
18.60,264285.09,309330.01,721.86
18.70,264284.83,309329.47,721.82
18.80,264284.58,309328.91,721.78
18.90,264284.33,309328.35,721.74
19.00,264284.09,309327.79,721.69
19.10,264283.83,309327.22,721.65
19.20,264283.58,309326.65,721.61
19.30,264283.34,309326.08,721.57
19.40,264283.09,309325.50,721.53
19.50,264282.84,309324.92,721.49
19.60,264282.58,309324.32,721.44
19.70,264282.32,309323.73,721.38
19.80,264282.06,309323.13,721.31
19.90,264281.79,309322.53,721.24
20.00,264281.52,309321.93,721.16
20.10,264281.25,309321.33,721.09
20.20,264280.97,309320.73,721.01
20.30,264280.70,309320.13,720.93
20.40,264280.42,309319.54,720.84
20.50,264280.13,309318.94,720.76
20.60,264279.83,309318.35,720.67
20.70,264279.53,309317.76,720.59
20.80,264279.21,309317.18,720.50
20.90,264278.89,309316.59,720.42
21.00,264278.55,309316.00,720.33
21.10,264278.21,309315.42,720.24
21.20,264277.86,309314.83,720.13
21.30,264277.49,309314.26,720.02
21.40,264277.11,309313.67,719.90
