time,x,y,z
13.30,264220.31,309409.27,701.84
13.40,264219.60,309409.66,701.37
0.10,264299.99,309370.01,741.21
0.20,264299.96,309370.02,741.20
0.30,264299.92,309370.06,741.20
0.40,264299.86,309370.11,741.18
0.50,264299.81,309370.18,741.16
0.60,264299.76,309370.26,741.14
0.70,264299.71,309370.34,741.12
0.80,264299.67,309370.44,741.10
0.90,264299.63,309370.55,741.07
1.00,264299.58,309370.68,741.04
1.10,264299.52,309370.81,741.01
1.20,264299.46,309370.96,740.97
1.30,264299.38,309371.12,740.92
1.40,264299.30,309371.29,740.86
1.50,264299.21,309371.48,740.80
1.60,264299.12,309371.69,740.73
1.70,264299.02,309371.92,740.66
1.80,264298.92,309372.16,740.60
1.90,264298.82,309372.41,740.55
2.00,264298.71,309372.68,740.51
2.10,264298.60,309372.96,740.46
2.20,264298.50,309373.25,740.40
2.30,264298.40,309373.55,740.34
2.40,264298.31,309373.86,740.28
2.50,264298.21,309374.18,740.23
2.60,264298.10,309374.52,740.18
2.70,264297.98,309374.86,740.12
2.80,264297.85,309375.21,740.07
2.90,264297.72,309375.58,740.02
3.00,264297.59,309375.95,739.97
3.10,264297.46,309376.34,739.92
3.20,264297.34,309376.73,739.87
3.30,264297.21,309377.13,739.82
3.40,264297.07,309377.55,739.77
3.50,264296.93,309377.97,739.72
3.60,264296.80,309378.41,739.66
3.70,264296.68,309378.86,739.59
3.80,264296.56,309379.34,739.53
3.90,264296.44,309379.82,739.46
4.00,264296.32,309380.32,739.39
4.10,264296.20,309380.82,739.33
4.20,264296.10,309381.33,739.27
4.30,264296.00,309381.86,739.22
4.40,264295.90,309382.40,739.18
4.50,264295.80,309382.95,739.14
4.60,264295.70,309383.51,739.10
4.70,264295.60,309384.08,739.05
4.80,264295.52,309384.66,739.01
4.90,264295.44,309385.24,738.98
5.00,264295.35,309385.84,738.94
5.10,264295.28,309386.44,738.90
5.20,264295.20,309387.05,738.87
5.30,264295.14,309387.67,738.83
5.40,264295.07,309388.30,738.79
5.50,264295.00,309388.94,738.74
5.60,264294.95,309389.58,738.70
5.70,264294.89,309390.25,738.65
5.80,264294.84,309390.92,738.61
5.90,264294.79,309391.61,738.58
6.00,264294.75,309392.31,738.55
6.10,264294.72,309393.01,738.53
6.20,264294.71,309393.72,738.52
6.30,264294.70,309394.45,738.50
6.40,264294.70,309395.17,738.50
6.50,264294.72,309395.90,738.50
6.60,264294.73,309396.64,738.48
6.70,264294.74,309397.37,738.47
6.80,264294.75,309398.12,738.47
6.90,264294.77,309398.88,738.47
7.00,264294.79,309399.65,738.47
7.10,264294.81,309400.43,738.49
7.20,264294.84,309401.22,738.50
7.30,264294.88,309402.01,738.50
7.40,264294.94,309402.81,738.52
7.50,264295.01,309403.61,738.54
7.60,264295.09,309404.41,738.57
7.70,264295.18,309405.21,738.59
7.80,264295.28,309406.01,738.61
7.90,264295.41,309406.80,738.61
8.00,264295.54,309407.60,738.61
8.10,264295.67,309408.39,738.61
8.20,264295.79,309409.19,738.60
8.30,264295.92,309409.98,738.59
8.40,264296.05,309410.78,738.60
8.50,264296.19,309411.57,738.61
8.60,264296.34,309412.35,738.63
8.70,264296.49,309413.14,738.65
8.80,264296.64,309413.93,738.67
8.90,264296.80,309414.72,738.68
9.00,264296.96,309415.51,738.69
9.10,264297.12,309416.30,738.70
9.20,264297.29,309417.08,738.72
9.30,264297.46,309417.87,738.75
9.40,264297.62,309418.65,738.77
9.50,264297.80,309419.44,738.78
9.60,264297.97,309420.23,738.80
9.70,264298.15,309421.01,738.81
9.80,264298.33,309421.79,738.82
9.90,264298.52,309422.57,738.84
10.00,264298.72,309423.35,738.85
10.10,264298.92,309424.13,738.86
10.20,264299.12,309424.91,738.86
10.30,264299.33,309425.68,738.88
10.40,264299.54,309426.46,738.89
10.50,264299.76,309427.24,738.91
10.60,264299.99,309428.01,738.94
10.70,264300.23,309428.78,738.97
10.80,264300.47,309429.54,739.02
10.90,264300.71,309430.31,739.05
11.00,264300.95,309431.08,739.09
11.10,264301.19,309431.85,739.12
11.20,264301.44,309432.61,739.15
11.30,264301.70,309433.37,739.18
11.40,264301.94,309434.14,739.19
11.50,264302.18,309434.90,739.21
11.60,264302.43,309435.67,739.21
11.70,264302.67,309436.43,739.21
11.80,264302.92,309437.20,739.21
