time,x,y,z
7.60,264336.83,309378.06,741.42
7.70,264337.62,309378.23,741.39
7.80,264338.41,309378.40,741.35
7.90,264339.20,309378.57,741.32
8.00,264339.99,309378.73,741.29
8.10,264340.78,309378.89,741.26
8.20,264341.56,309379.04,741.23
8.30,264342.36,309379.21,741.19
8.40,264343.14,309379.37,741.16
8.50,264343.94,309379.53,741.12
8.60,264344.73,309379.70,741.08
0.10,264299.99,309370.01,741.20
0.20,264299.96,309370.03,741.18
0.30,264299.91,309370.07,741.16
0.40,264299.83,309370.11,741.13
0.50,264299.74,309370.17,741.11
0.60,264299.62,309370.22,741.07
0.70,264299.48,309370.30,741.04
0.80,264299.33,309370.38,741.00
0.90,264299.16,309370.48,740.95
1.00,264298.98,309370.59,740.90
1.10,264298.78,309370.71,740.85
1.20,264298.56,309370.84,740.78
1.30,264298.33,309370.98,740.72
1.40,264298.07,309371.13,740.67
1.50,264297.81,309371.29,740.60
1.60,264297.52,309371.46,740.53
1.70,264297.21,309371.64,740.46
1.80,264296.91,309371.83,740.38
1.90,264296.59,309372.04,740.30
2.00,264296.26,309372.26,740.23
2.10,264295.93,309372.49,740.15
2.20,264295.60,309372.72,740.07
2.30,264295.25,309372.95,739.99
2.40,264294.90,309373.20,739.90
2.50,264294.54,309373.46,739.81
2.60,264294.18,309373.72,739.71
2.70,264293.82,309373.99,739.62
2.80,264293.45,309374.27,739.53
2.90,264293.08,309374.56,739.45
3.00,264292.70,309374.87,739.36
3.10,264292.32,309375.18,739.27
3.20,264291.94,309375.52,739.17
3.30,264291.57,309375.86,739.07
3.40,264291.20,309376.22,738.97
3.50,264290.83,309376.58,738.86
3.60,264290.46,309376.96,738.75
3.70,264290.09,309377.34,738.65
3.80,264289.71,309377.72,738.54
3.90,264289.34,309378.11,738.44
4.00,264288.97,309378.51,738.33
4.10,264288.58,309378.91,738.23
4.20,264288.20,309379.32,738.12
4.30,264287.82,309379.73,738.01
4.40,264287.44,309380.15,737.89
4.50,264287.06,309380.59,737.78
4.60,264286.67,309381.03,737.66
4.70,264286.30,309381.48,737.54
4.80,264285.93,309381.94,737.42
4.90,264285.55,309382.40,737.30
5.00,264285.17,309382.88,737.19
5.10,264284.78,309383.36,737.09
5.20,264284.40,309383.86,736.97
5.30,264284.04,309384.37,736.85
5.40,264283.68,309384.88,736.72
5.50,264283.32,309385.40,736.60
5.60,264282.97,309385.93,736.47
5.70,264282.62,309386.47,736.34
5.80,264282.28,309387.02,736.20
5.90,264281.93,309387.57,736.07
6.00,264281.59,309388.14,735.93
6.10,264281.25,309388.70,735.79
6.20,264280.91,309389.27,735.65
6.30,264280.58,309389.85,735.51
6.40,264280.24,309390.43,735.38
6.50,264279.92,309391.02,735.24
6.60,264279.60,309391.62,735.11
6.70,264279.28,309392.24,734.97
6.80,264278.95,309392.86,734.83
6.90,264278.63,309393.50,734.69
7.00,264278.32,309394.14,734.54
7.10,264278.01,309394.78,734.40
7.20,264277.71,309395.44,734.27
7.30,264277.41,309396.10,734.13
7.40,264277.12,309396.76,734.00
7.50,264276.83,309397.44,733.87
7.60,264276.54,309398.12,733.75
7.70,264276.26,309398.82,733.63
7.80,264275.99,309399.51,733.52
7.90,264275.72,309400.20,733.40
8.00,264275.46,309400.91,733.28
8.10,264275.20,309401.61,733.15
8.20,264274.95,309402.32,733.03
8.30,264274.72,309403.04,732.92
8.40,264274.49,309403.76,732.81
8.50,264274.28,309404.48,732.70
8.60,264274.09,309405.20,732.59
8.70,264273.92,309405.92,732.49
8.80,264273.77,309406.66,732.39
8.90,264273.63,309407.40,732.30
9.00,264273.50,309408.15,732.21
9.10,264273.38,309408.91,732.12
9.20,264273.27,309409.67,732.03
9.30,264273.17,309410.44,731.93
9.40,264273.09,309411.22,731.84
9.50,264273.03,309412.00,731.75
9.60,264272.97,309412.77,731.65
9.70,264272.94,309413.53,731.57
9.80,264272.91,309414.29,731.49
9.90,264272.88,309415.06,731.41
10.00,264272.87,309415.84,731.34
10.10,264272.87,309416.62,731.26
10.20,264272.88,309417.41,731.18
10.30,264272.91,309418.20,731.10
10.40,264272.95,309418.99,731.02
10.50,264272.99,309419.79,730.93
10.60,264273.04,309420.60,730.84
10.70,264273.11,309421.39,730.76
10.80,264273.18,309422.19,730.67
10.90,264273.26,309422.99,730.58
