time,x,y,z
19.90,264436.57,309419.17,785.54
20.00,264437.33,309419.45,785.75
20.10,264438.10,309419.72,785.96
20.20,264438.86,309419.98,786.17
20.30,264439.63,309420.25,786.38
0.10,264300.00,309370.01,741.21
0.20,264299.99,309370.03,741.22
0.30,264299.98,309370.07,741.22
0.40,264299.95,309370.13,741.22
0.50,264299.92,309370.20,741.23
0.60,264299.87,309370.28,741.23
0.70,264299.83,309370.38,741.23
0.80,264299.80,309370.49,741.22
0.90,264299.76,309370.62,741.22
1.00,264299.73,309370.77,741.21
1.10,264299.68,309370.93,741.21
1.20,264299.64,309371.11,741.22
1.30,264299.59,309371.30,741.22
1.40,264299.54,309371.51,741.23
1.50,264299.49,309371.74,741.24
1.60,264299.42,309371.99,741.24
1.70,264299.35,309372.25,741.25
1.80,264299.29,309372.53,741.26
1.90,264299.23,309372.82,741.28
2.00,264299.17,309373.12,741.29
2.10,264299.09,309373.44,741.31
2.20,264299.01,309373.78,741.33
2.30,264298.92,309374.14,741.34
2.40,264298.84,309374.51,741.36
2.50,264298.76,309374.90,741.38
2.60,264298.68,309375.30,741.41
2.70,264298.59,309375.71,741.45
2.80,264298.51,309376.13,741.49
2.90,264298.44,309376.57,741.55
3.00,264298.36,309377.02,741.61
3.10,264298.29,309377.48,741.67
3.20,264298.22,309377.95,741.74
3.30,264298.16,309378.44,741.82
3.40,264298.10,309378.95,741.90
3.50,264298.04,309379.47,741.98
3.60,264297.99,309380.01,742.07
3.70,264297.96,309380.57,742.17
3.80,264297.93,309381.13,742.28
3.90,264297.92,309381.72,742.40
4.00,264297.91,309382.31,742.52
4.10,264297.91,309382.92,742.64
4.20,264297.91,309383.53,742.76
4.30,264297.93,309384.16,742.88
4.40,264297.97,309384.80,743.01
4.50,264298.02,309385.45,743.13
4.60,264298.07,309386.11,743.25
4.70,264298.13,309386.78,743.36
4.80,264298.20,309387.46,743.48
4.90,264298.29,309388.15,743.58
5.00,264298.37,309388.85,743.69
5.10,264298.47,309389.56,743.78
5.20,264298.57,309390.29,743.89
5.30,264298.68,309391.02,743.99
5.40,264298.80,309391.75,744.11
5.50,264298.93,309392.49,744.22
5.60,264299.08,309393.24,744.33
5.70,264299.24,309394.00,744.45
5.80,264299.41,309394.77,744.57
5.90,264299.59,309395.55,744.71
6.00,264299.78,309396.33,744.84
6.10,264299.97,309397.11,744.98
6.20,264300.16,309397.90,745.11
6.30,264300.37,309398.68,745.25
6.40,264300.57,309399.46,745.40
6.50,264300.78,309400.23,745.55
6.60,264301.00,309401.01,745.69
6.70,264301.22,309401.79,745.83
6.80,264301.45,309402.56,745.96
6.90,264301.69,309403.33,746.09
7.00,264301.93,309404.10,746.21
7.10,264302.18,309404.87,746.34
7.20,264302.44,309405.63,746.46
7.30,264302.70,309406.38,746.59
7.40,264302.98,309407.14,746.71
7.50,264303.26,309407.90,746.83
7.60,264303.56,309408.65,746.95
7.70,264303.87,309409.39,747.06
7.80,264304.18,309410.14,747.18
7.90,264304.51,309410.87,747.29
8.00,264304.84,309411.60,747.40
8.10,264305.18,309412.34,747.51
8.20,264305.53,309413.06,747.62
8.30,264305.87,309413.79,747.73
8.40,264306.21,309414.52,747.83
8.50,264306.54,309415.25,747.91
8.60,264306.88,309415.99,747.98
8.70,264307.22,309416.72,748.06
8.80,264307.56,309417.45,748.12
8.90,264307.91,309418.17,748.17
9.00,264308.27,309418.90,748.22
9.10,264308.63,309419.62,748.27
9.20,264309.00,309420.34,748.32
9.30,264309.38,309421.05,748.37
9.40,264309.77,309421.76,748.41
9.50,264310.16,309422.47,748.45
9.60,264310.55,309423.17,748.48
9.70,264310.94,309423.87,748.51
9.80,264311.34,309424.57,748.54
9.90,264311.74,309425.27,748.57
10.00,264312.15,309425.97,748.58
10.10,264312.55,309426.66,748.59
10.20,264312.95,309427.36,748.59
10.30,264313.36,309428.06,748.58
10.40,264313.76,309428.75,748.56
10.50,264314.16,309429.45,748.53
10.60,264314.56,309430.15,748.49
10.70,264314.97,309430.85,748.45
10.80,264315.36,309431.55,748.40
10.90,264315.76,309432.24,748.35
11.00,264316.15,309432.95,748.29
11.10,264316.54,309433.66,748.22
11.20,264316.92,309434.36,748.14
11.30,264317.32,309435.08,748.05
11.40,264317.71,309435.78,747.95
11.50,264318.12,309436.48,747.84
