time,x,y,z
14.40,264202.24,309364.97,684.26
14.50,264201.43,309364.97,683.76
0.10,264299.99,309370.01,741.20
0.20,264299.97,309370.03,741.17
0.30,264299.94,309370.06,741.14
0.40,264299.90,309370.09,741.10
0.50,264299.83,309370.14,741.05
0.60,264299.74,309370.19,741.01
0.70,264299.62,309370.26,740.96
0.80,264299.49,309370.33,740.90
0.90,264299.34,309370.42,740.85
1.00,264299.18,309370.51,740.80
1.10,264299.00,309370.62,740.73
1.20,264298.81,309370.74,740.66
1.30,264298.59,309370.88,740.58
1.40,264298.36,309371.03,740.49
1.50,264298.12,309371.20,740.40
1.60,264297.86,309371.38,740.32
1.70,264297.58,309371.57,740.23
1.80,264297.28,309371.78,740.15
1.90,264296.95,309372.01,740.06
2.00,264296.60,309372.25,739.97
2.10,264296.25,309372.51,739.88
2.20,264295.87,309372.78,739.77
2.30,264295.48,309373.05,739.66
2.40,264295.08,309373.34,739.53
2.50,264294.68,309373.64,739.40
2.60,264294.27,309373.95,739.26
2.70,264293.85,309374.28,739.10
2.80,264293.40,309374.62,738.93
2.90,264292.93,309374.98,738.76
3.00,264292.44,309375.35,738.59
3.10,264291.93,309375.72,738.42
3.20,264291.40,309376.09,738.24
3.30,264290.85,309376.49,738.07
3.40,264290.28,309376.90,737.88
3.50,264289.70,309377.33,737.68
3.60,264289.10,309377.77,737.48
3.70,264288.48,309378.22,737.28
3.80,264287.84,309378.69,737.09
3.90,264287.20,309379.17,736.89
4.00,264286.54,309379.65,736.70
4.10,264285.89,309380.13,736.50
4.20,264285.24,309380.60,736.29
4.30,264284.59,309381.08,736.08
4.40,264283.94,309381.56,735.87
4.50,264283.29,309382.05,735.64
4.60,264282.66,309382.54,735.42
4.70,264282.02,309383.04,735.18
4.80,264281.38,309383.53,734.94
4.90,264280.73,309384.02,734.70
5.00,264280.08,309384.51,734.46
5.10,264279.44,309384.99,734.23
5.20,264278.80,309385.48,734.00
5.30,264278.16,309385.96,733.79
5.40,264277.52,309386.46,733.57
5.50,264276.88,309386.96,733.36
5.60,264276.25,309387.46,733.13
5.70,264275.62,309387.96,732.91
5.80,264275.00,309388.47,732.67
5.90,264274.38,309388.99,732.43
6.00,264273.75,309389.50,732.18
6.10,264273.13,309390.01,731.93
6.20,264272.49,309390.52,731.67
6.30,264271.87,309391.03,731.42
6.40,264271.25,309391.55,731.16
6.50,264270.63,309392.07,730.89
6.60,264270.01,309392.59,730.62
6.70,264269.39,309393.11,730.34
6.80,264268.77,309393.63,730.05
6.90,264268.16,309394.16,729.76
7.00,264267.55,309394.69,729.47
7.10,264266.95,309395.23,729.18
7.20,264266.35,309395.77,728.91
7.30,264265.75,309396.31,728.64
7.40,264265.15,309396.86,728.36
7.50,264264.55,309397.41,728.08
7.60,264263.95,309397.96,727.78
7.70,264263.37,309398.51,727.50
7.80,264262.79,309399.07,727.21
7.90,264262.20,309399.62,726.92
8.00,264261.62,309400.18,726.64
8.10,264261.04,309400.74,726.37
8.20,264260.46,309401.31,726.11
8.30,264259.89,309401.88,725.85
8.40,264259.31,309402.44,725.58
8.50,264258.73,309403.01,725.32
8.60,264258.14,309403.57,725.06
8.70,264257.56,309404.13,724.80
8.80,264256.98,309404.70,724.53
8.90,264256.41,309405.27,724.26
9.00,264255.82,309405.82,723.99
9.10,264255.23,309406.38,723.72
9.20,264254.65,309406.94,723.44
9.30,264254.06,309407.50,723.17
9.40,264253.47,309408.05,722.88
9.50,264252.89,309408.62,722.59
9.60,264252.31,309409.18,722.31
9.70,264251.74,309409.75,722.02
9.80,264251.16,309410.31,721.74
9.90,264250.57,309410.87,721.48
10.00,264249.98,309411.42,721.22
10.10,264249.38,309411.97,720.96
10.20,264248.78,309412.52,720.70
10.30,264248.18,309413.05,720.44
10.40,264247.58,309413.59,720.18
10.50,264246.99,309414.13,719.92
10.60,264246.39,309414.67,719.64
10.70,264245.79,309415.22,719.35
10.80,264245.20,309415.77,719.06
10.90,264244.60,309416.31,718.76
11.00,264244.00,309416.86,718.46
11.10,264243.40,309417.41,718.16
11.20,264242.80,309417.96,717.86
11.30,264242.21,309418.50,717.58
11.40,264241.62,309419.06,717.30
11.50,264241.04,309419.62,717.02
11.60,264240.45,309420.18,716.75
11.70,264239.87,309420.74,716.49
11.80,264239.29,309421.31,716.22
