time,x,y,z
8.30,264319.18,309376.44,739.07
8.40,264319.57,309376.56,739.02
8.50,264319.96,309376.67,738.97
8.60,264320.34,309376.78,738.93
8.70,264320.73,309376.89,738.87
8.80,264321.11,309377.00,738.82
8.90,264321.52,309377.11,738.77
9.00,264321.93,309377.20,738.72
9.10,264322.34,309377.29,738.67
9.20,264322.75,309377.37,738.61
9.30,264323.16,309377.44,738.54
0.10,264300.00,309370.00,741.21
0.20,264300.02,309370.01,741.23
0.30,264300.03,309370.02,741.25
0.40,264300.06,309370.02,741.27
0.50,264300.11,309370.03,741.28
0.60,264300.15,309370.03,741.29
0.70,264300.19,309370.04,741.29
0.80,264300.24,309370.06,741.30
0.90,264300.30,309370.09,741.30
1.00,264300.39,309370.11,741.31
1.10,264300.48,309370.14,741.33
1.20,264300.59,309370.16,741.35
1.30,264300.71,309370.19,741.36
1.40,264300.85,309370.22,741.38
1.50,264301.00,309370.27,741.41
1.60,264301.15,309370.31,741.45
1.70,264301.32,309370.37,741.48
1.80,264301.49,309370.42,741.50
1.90,264301.67,309370.48,741.51
2.00,264301.86,309370.55,741.52
2.10,264302.07,309370.63,741.52
2.20,264302.29,309370.72,741.50
2.30,264302.51,309370.81,741.48
2.40,264302.73,309370.91,741.45
2.50,264302.96,309371.00,741.41
2.60,264303.21,309371.09,741.37
2.70,264303.47,309371.18,741.35
2.80,264303.74,309371.27,741.33
2.90,264304.02,309371.38,741.32
3.00,264304.30,309371.48,741.29
3.10,264304.60,309371.59,741.27
3.20,264304.92,309371.71,741.24
3.30,264305.26,309371.83,741.22
3.40,264305.61,309371.97,741.20
3.50,264305.99,309372.11,741.16
3.60,264306.38,309372.24,741.12
3.70,264306.78,309372.37,741.08
3.80,264307.19,309372.49,741.04
3.90,264307.60,309372.61,741.01
4.00,264308.01,309372.73,740.99
4.10,264308.43,309372.85,740.96
4.20,264308.85,309372.98,740.93
4.30,264309.28,309373.11,740.89
4.40,264309.73,309373.26,740.85
4.50,264310.18,309373.41,740.82
4.60,264310.64,309373.57,740.79
4.70,264311.11,309373.74,740.76
4.80,264311.59,309373.92,740.71
4.90,264312.08,309374.10,740.67
5.00,264312.59,309374.28,740.62
5.10,264313.11,309374.46,740.57
5.20,264313.65,309374.64,740.52
5.30,264314.18,309374.81,740.49
5.40,264314.73,309374.99,740.46
5.50,264315.30,309375.18,740.44
5.60,264315.87,309375.36,740.42
5.70,264316.45,309375.55,740.41
5.80,264317.04,309375.74,740.41
5.90,264317.63,309375.94,740.40
6.00,264318.23,309376.14,740.40
6.10,264318.82,309376.34,740.39
6.20,264319.41,309376.53,740.39
6.30,264320.01,309376.72,740.40
6.40,264320.61,309376.90,740.42
6.50,264321.22,309377.08,740.45
6.60,264321.83,309377.27,740.47
6.70,264322.44,309377.46,740.49
6.80,264323.05,309377.66,740.52
6.90,264323.66,309377.85,740.52
