time,x,y,z
6.30,264328.94,309372.12,736.83
6.40,264329.75,309372.12,736.64
6.50,264330.55,309372.13,736.45
6.60,264331.36,309372.13,736.26
6.70,264332.16,309372.13,736.07
6.80,264332.96,309372.14,735.88
0.10,264300.00,309370.00,741.21
0.20,264299.99,309370.02,741.21
0.30,264299.98,309370.04,741.22
0.40,264299.97,309370.08,741.22
0.50,264299.96,309370.12,741.22
0.60,264299.94,309370.18,741.22
0.70,264299.94,309370.25,741.21
0.80,264299.93,309370.34,741.20
0.90,264299.93,309370.45,741.18
1.00,264299.93,309370.57,741.17
1.10,264299.93,309370.70,741.16
1.20,264299.94,309370.83,741.16
1.30,264299.94,309370.98,741.16
1.40,264299.95,309371.14,741.16
1.50,264299.96,309371.32,741.17
1.60,264299.97,309371.51,741.18
1.70,264299.99,309371.71,741.20
1.80,264300.01,309371.93,741.22
1.90,264300.03,309372.15,741.25
2.00,264300.05,309372.38,741.28
2.10,264300.07,309372.62,741.30
2.20,264300.10,309372.87,741.31
2.30,264300.13,309373.12,741.33
2.40,264300.17,309373.39,741.36
2.50,264300.22,309373.67,741.40
2.60,264300.27,309373.96,741.44
2.70,264300.33,309374.26,741.49
2.80,264300.39,309374.57,741.53
2.90,264300.45,309374.89,741.59
3.00,264300.52,309375.23,741.65
3.10,264300.60,309375.57,741.71
3.20,264300.68,309375.93,741.77
3.30,264300.76,309376.28,741.83
3.40,264300.86,309376.64,741.89
3.50,264300.96,309377.02,741.94
3.60,264301.06,309377.40,742.00
3.70,264301.17,309377.80,742.05
3.80,264301.29,309378.20,742.09
3.90,264301.40,309378.61,742.14
4.00,264301.52,309379.03,742.20
4.10,264301.65,309379.45,742.25
4.20,264301.77,309379.89,742.31
4.30,264301.92,309380.33,742.37
4.40,264302.07,309380.79,742.43
4.50,264302.23,309381.25,742.49
4.60,264302.41,309381.73,742.55
4.70,264302.60,309382.22,742.61
4.80,264302.79,309382.71,742.67
4.90,264303.00,309383.22,742.74
5.00,264303.20,309383.74,742.80
5.10,264303.42,309384.26,742.86
5.20,264303.64,309384.80,742.92
5.30,264303.87,309385.34,742.97
5.40,264304.11,309385.89,743.03
5.50,264304.34,309386.45,743.09
5.60,264304.59,309387.01,743.15
5.70,264304.85,309387.57,743.20
5.80,264305.10,309388.14,743.24
5.90,264305.37,309388.73,743.29
6.00,264305.65,309389.32,743.34
6.10,264305.94,309389.92,743.38
6.20,264306.24,309390.53,743.43
6.30,264306.56,309391.16,743.47
6.40,264306.90,309391.78,743.52
6.50,264307.26,309392.42,743.57
6.60,264307.62,309393.06,743.62
6.70,264308.00,309393.72,743.67
6.80,264308.39,309394.38,743.71
6.90,264308.80,309395.05,743.75
7.00,264309.22,309395.72,743.79
7.10,264309.64,309396.41,743.83
7.20,264310.07,309397.09,743.87
7.30,264310.51,309397.77,743.90
7.40,264310.94,309398.45,743.93
