time,x,y,z
8.00,264316.12,309398.96,743.78
8.10,264316.61,309399.60,743.75
8.20,264317.10,309400.23,743.73
8.30,264317.59,309400.87,743.70
8.40,264318.08,309401.51,743.69
8.50,264318.56,309402.15,743.68
8.60,264319.05,309402.79,743.66
8.70,264319.53,309403.43,743.63
8.80,264320.02,309404.07,743.60
8.90,264320.51,309404.71,743.57
9.00,264321.01,309405.35,743.54
9.10,264321.50,309405.99,743.50
9.20,264321.99,309406.63,743.46
9.30,264322.49,309407.27,743.43
9.40,264322.99,309407.90,743.40
0.10,264300.00,309370.00,741.20
0.20,264299.98,309370.00,741.18
0.30,264299.95,309370.00,741.15
0.40,264299.90,309370.00,741.12
0.50,264299.86,309370.00,741.07
0.60,264299.82,309370.00,741.01
0.70,264299.77,309369.99,740.94
0.80,264299.70,309369.98,740.87
0.90,264299.62,309369.96,740.79
1.00,264299.52,309369.95,740.70
1.10,264299.40,309369.95,740.61
1.20,264299.29,309369.95,740.53
1.30,264299.18,309369.95,740.43
1.40,264299.07,309369.95,740.33
1.50,264298.97,309369.95,740.22
1.60,264298.86,309369.95,740.11
1.70,264298.75,309369.95,740.00
1.80,264298.64,309369.94,739.90
1.90,264298.52,309369.93,739.80
2.00,264298.39,309369.91,739.69
2.10,264298.25,309369.90,739.57
2.20,264298.11,309369.89,739.44
2.30,264297.96,309369.88,739.32
2.40,264297.81,309369.86,739.20
2.50,264297.65,309369.85,739.08
2.60,264297.49,309369.84,738.96
2.70,264297.33,309369.82,738.84
2.80,264297.16,309369.81,738.71
2.90,264296.99,309369.81,738.57
3.00,264296.82,309369.82,738.42
3.10,264296.64,309369.82,738.26
3.20,264296.45,309369.83,738.09
3.30,264296.26,309369.83,737.92
3.40,264296.07,309369.83,737.74
3.50,264295.87,309369.83,737.56
3.60,264295.66,309369.82,737.38
3.70,264295.43,309369.80,737.19
3.80,264295.19,309369.79,737.00
3.90,264294.93,309369.78,736.80
4.00,264294.68,309369.76,736.60
4.10,264294.40,309369.74,736.40
4.20,264294.11,309369.73,736.19
4.30,264293.82,309369.73,735.98
4.40,264293.53,309369.74,735.77
4.50,264293.23,309369.74,735.55
4.60,264292.93,309369.74,735.33
4.70,264292.62,309369.74,735.09
4.80,264292.30,309369.75,734.85
4.90,264291.96,309369.76,734.62
5.00,264291.62,309369.77,734.38
5.10,264291.28,309369.79,734.14
5.20,264290.94,309369.80,733.90
5.30,264290.59,309369.82,733.65
5.40,264290.23,309369.84,733.40
5.50,264289.87,309369.86,733.15
5.60,264289.50,309369.88,732.89
5.70,264289.13,309369.90,732.63
5.80,264288.76,309369.93,732.36
5.90,264288.39,309369.97,732.09
6.00,264288.03,309369.99,731.82
6.10,264287.66,309370.02,731.54
6.20,264287.29,309370.05,731.26
6.30,264286.91,309370.09,730.98
6.40,264286.52,309370.12,730.69
6.50,264286.11,309370.15,730.42
6.60,264285.70,309370.17,730.14
6.70,264285.29,309370.19,729.88
6.80,264284.88,309370.19,729.61
6.90,264284.47,309370.20,729.34
7.00,264284.06,309370.21,729.07
7.10,264283.66,309370.22,728.80
7.20,264283.27,309370.22,728.53
7.30,264282.87,309370.24,728.26
7.40,264282.47,309370.25,727.98
