time,x,y,z
8.10,264306.69,309406.91,735.82
8.20,264306.80,309407.71,735.65
0.10,264300.00,309370.00,741.21
0.20,264300.00,309369.99,741.21
0.30,264300.01,309370.00,741.21
0.40,264300.03,309370.01,741.21
0.50,264300.05,309370.03,741.20
0.60,264300.08,309370.04,741.19
0.70,264300.10,309370.06,741.18
0.80,264300.13,309370.07,741.18
0.90,264300.15,309370.09,741.19
1.00,264300.17,309370.12,741.20
1.10,264300.18,309370.15,741.19
1.20,264300.20,309370.18,741.18
1.30,264300.23,309370.21,741.17
1.40,264300.24,309370.25,741.15
1.50,264300.27,309370.29,741.12
1.60,264300.30,309370.34,741.10
1.70,264300.34,309370.41,741.10
1.80,264300.38,309370.49,741.11
1.90,264300.42,309370.57,741.12
2.00,264300.45,309370.67,741.15
2.10,264300.49,309370.77,741.18
2.20,264300.54,309370.86,741.22
2.30,264300.58,309370.96,741.26
2.40,264300.64,309371.07,741.31
2.50,264300.70,309371.18,741.36
2.60,264300.77,309371.29,741.40
2.70,264300.84,309371.41,741.43
2.80,264300.92,309371.52,741.47
2.90,264301.00,309371.64,741.52
3.00,264301.08,309371.75,741.56
3.10,264301.17,309371.88,741.61
3.20,264301.26,309372.03,741.68
3.30,264301.35,309372.19,741.75
3.40,264301.44,309372.34,741.83
3.50,264301.54,309372.50,741.90
3.60,264301.65,309372.67,741.96
3.70,264301.77,309372.85,742.01
3.80,264301.89,309373.02,742.07
3.90,264302.01,309373.21,742.14
4.00,264302.12,309373.40,742.21
4.10,264302.25,309373.62,742.29
4.20,264302.39,309373.83,742.36
4.30,264302.54,309374.06,742.44
4.40,264302.70,309374.29,742.51
4.50,264302.86,309374.53,742.57
4.60,264303.02,309374.77,742.63
4.70,264303.18,309375.02,742.68
4.80,264303.35,309375.28,742.73
4.90,264303.53,309375.55,742.77
5.00,264303.70,309375.82,742.81
5.10,264303.88,309376.11,742.85
5.20,264304.06,309376.39,742.87
5.30,264304.24,309376.68,742.88
5.40,264304.44,309376.97,742.89
5.50,264304.64,309377.28,742.90
5.60,264304.85,309377.59,742.93
5.70,264305.05,309377.90,742.96
5.80,264305.25,309378.21,742.99
5.90,264305.45,309378.51,743.01
6.00,264305.67,309378.81,743.02
6.10,264305.89,309379.12,743.02
6.20,264306.11,309379.42,743.01
6.30,264306.33,309379.74,743.00
6.40,264306.55,309380.07,742.97
6.50,264306.77,309380.40,742.94
6.60,264306.99,309380.72,742.93
6.70,264307.21,309381.04,742.92
6.80,264307.43,309381.36,742.90
6.90,264307.67,309381.67,742.89
7.00,264307.91,309381.98,742.87
7.10,264308.16,309382.31,742.86
7.20,264308.41,309382.63,742.84
7.30,264308.66,309382.95,742.82
7.40,264308.91,309383.26,742.80
7.50,264309.17,309383.58,742.77
7.60,264309.43,309383.90,742.74
7.70,264309.70,309384.23,742.72
7.80,264309.97,309384.54,742.69
7.90,264310.23,309384.87,742.67
8.00,264310.51,309385.20,742.65
8.10,264310.80,309385.52,742.65
8.20,264311.11,309385.85,742.65
8.30,264311.41,309386.17,742.66
8.40,264311.72,309386.50,742.67
8.50,264312.02,309386.84,742.71
8.60,264312.32,309387.18,742.75
8.70,264312.64,309387.51,742.80
8.80,264312.94,309387.84,742.85
8.90,264313.25,309388.16,742.89
9.00,264313.57,309388.50,742.93
9.10,264313.89,309388.84,742.97
9.20,264314.22,309389.19,743.00
9.30,264314.55,309389.55,743.01
9.40,264314.90,309389.91,743.01
9.50,264315.23,309390.27,743.02
9.60,264315.55,309390.62,743.03
9.70,264315.86,309390.98,743.03
9.80,264316.17,309391.33,743.04
9.90,264316.46,309391.69,743.06
10.00,264316.76,309392.04,743.09
10.10,264317.06,309392.39,743.11
10.20,264317.37,309392.75,743.13
10.30,264317.67,309393.12,743.13
10.40,264317.96,309393.49,743.13
10.50,264318.25,309393.87,743.13
10.60,264318.55,309394.26,743.14
10.70,264318.85,309394.67,743.15
10.80,264319.15,309395.08,743.17
10.90,264319.44,309395.49,743.18
11.00,264319.73,309395.91,743.20
11.10,264320.03,309396.33,743.22
11.20,264320.35,309396.75,743.24
11.30,264320.69,309397.17,743.27
11.40,264321.04,309397.59,743.31
11.50,264321.40,309398.02,743.37
11.60,264321.75,309398.46,743.42
11.70,264322.11,309398.89,743.45
11.80,264322.48,309399.32,743.48
