time,x,y,z
39.50,264182.85,309624.49,684.70
39.60,264182.62,309625.26,684.63
39.70,264182.39,309626.03,684.55
39.80,264182.15,309626.79,684.48
39.90,264181.92,309627.56,684.42
40.00,264181.67,309628.32,684.36
40.10,264181.42,309629.08,684.30
40.20,264181.16,309629.84,684.24
40.30,264180.90,309630.60,684.16
40.40,264180.64,309631.36,684.08
40.50,264180.40,309632.13,684.00
40.60,264180.16,309632.89,683.92
40.70,264179.94,309633.65,683.84
40.80,264179.72,309634.43,683.75
40.90,264179.51,309635.20,683.66
41.00,264179.31,309635.97,683.56
41.10,264179.12,309636.75,683.45
41.20,264178.94,309637.53,683.34
0.10,264299.99,309370.00,741.21
0.20,264299.98,309370.01,741.22
0.30,264299.97,309370.02,741.23
0.40,264299.95,309370.04,741.25
0.50,264299.92,309370.06,741.28
0.60,264299.89,309370.09,741.30
0.70,264299.85,309370.12,741.31
0.80,264299.79,309370.15,741.33
0.90,264299.72,309370.18,741.34
1.00,264299.64,309370.21,741.35
1.10,264299.54,309370.26,741.35
1.20,264299.44,309370.30,741.35
1.30,264299.33,309370.35,741.34
1.40,264299.20,309370.41,741.33
1.50,264299.07,309370.46,741.32
1.60,264298.92,309370.53,741.31
1.70,264298.75,309370.59,741.30
1.80,264298.58,309370.66,741.27
1.90,264298.39,309370.73,741.25
2.00,264298.18,309370.81,741.22
2.10,264297.96,309370.91,741.20
2.20,264297.73,309371.02,741.17
2.30,264297.49,309371.13,741.15
2.40,264297.24,309371.24,741.12
2.50,264296.99,309371.37,741.09
2.60,264296.72,309371.49,741.06
2.70,264296.45,309371.61,741.03
2.80,264296.17,309371.75,740.99
2.90,264295.88,309371.91,740.96
3.00,264295.57,309372.06,740.92
3.10,264295.24,309372.22,740.87
3.20,264294.91,309372.39,740.82
3.30,264294.56,309372.55,740.77
3.40,264294.21,309372.72,740.72
3.50,264293.85,309372.89,740.67
3.60,264293.48,309373.06,740.62
3.70,264293.11,309373.24,740.56
3.80,264292.72,309373.42,740.49
3.90,264292.32,309373.62,740.42
4.00,264291.91,309373.82,740.34
4.10,264291.49,309374.03,740.25
4.20,264291.07,309374.24,740.17
