time,x,y,z
7.10,264314.96,309354.55,728.35
7.20,264315.33,309354.07,727.95
0.10,264300.01,309370.00,741.21
0.20,264300.02,309370.01,741.22
0.30,264300.04,309370.03,741.24
0.40,264300.08,309370.06,741.26
0.50,264300.15,309370.09,741.29
0.60,264300.25,309370.14,741.32
0.70,264300.35,309370.20,741.36
0.80,264300.47,309370.28,741.41
0.90,264300.61,309370.37,741.46
1.00,264300.77,309370.47,741.52
1.10,264300.95,309370.59,741.58
1.20,264301.15,309370.71,741.66
1.30,264301.35,309370.84,741.74
1.40,264301.56,309370.99,741.83
1.50,264301.79,309371.15,741.94
1.60,264302.05,309371.31,742.05
1.70,264302.34,309371.49,742.18
1.80,264302.64,309371.68,742.30
1.90,264302.96,309371.88,742.43
2.00,264303.30,309372.09,742.57
2.10,264303.66,309372.30,742.71
2.20,264304.04,309372.53,742.84
2.30,264304.44,309372.77,742.97
2.40,264304.83,309373.02,743.10
2.50,264305.23,309373.28,743.23
2.60,264305.65,309373.55,743.37
2.70,264306.09,309373.82,743.51
2.80,264306.55,309374.10,743.66
2.90,264307.02,309374.40,743.81
3.00,264307.51,309374.70,743.97
3.10,264308.02,309375.01,744.14
3.20,264308.54,309375.32,744.31
3.30,264309.08,309375.65,744.49
3.40,264309.65,309375.99,744.66
3.50,264310.24,309376.34,744.82
3.60,264310.84,309376.70,744.98
3.70,264311.46,309377.08,745.13
3.80,264312.10,309377.47,745.27
3.90,264312.76,309377.87,745.42
4.00,264313.43,309378.29,745.57
4.10,264314.12,309378.71,745.71
4.20,264314.81,309379.14,745.85
4.30,264315.50,309379.56,745.99
4.40,264316.19,309379.98,746.13
4.50,264316.87,309380.40,746.27
4.60,264317.56,309380.83,746.42
4.70,264318.25,309381.26,746.57
4.80,264318.94,309381.67,746.73
4.90,264319.64,309382.09,746.89
5.00,264320.33,309382.50,747.05
5.10,264321.02,309382.92,747.21
5.20,264321.73,309383.33,747.36
5.30,264322.43,309383.74,747.52
5.40,264323.13,309384.14,747.68
5.50,264323.83,309384.55,747.84
5.60,264324.52,309384.96,748.00
5.70,264325.22,309385.38,748.16
5.80,264325.92,309385.80,748.32
5.90,264326.62,309386.21,748.48
6.00,264327.31,309386.62,748.64
6.10,264328.01,309387.03,748.79
6.20,264328.71,309387.44,748.94
6.30,264329.42,309387.84,749.10
6.40,264330.13,309388.23,749.26
6.50,264330.84,309388.62,749.43
6.60,264331.55,309389.01,749.59
6.70,264332.26,309389.40,749.75
6.80,264332.98,309389.79,749.91
6.90,264333.70,309390.17,750.08
7.00,264334.41,309390.55,750.25
7.10,264335.13,309390.94,750.43
7.20,264335.84,309391.32,750.60
7.30,264336.56,309391.70,750.77
7.40,264337.27,309392.08,750.94
7.50,264337.98,309392.46,751.11
7.60,264338.70,309392.85,751.28
7.70,264339.42,309393.23,751.46
7.80,264340.12,309393.62,751.65
