time,x,y,z
8.50,264320.88,309393.13,744.58
8.60,264321.37,309393.70,744.61
8.70,264321.87,309394.29,744.62
8.80,264322.37,309394.88,744.64
8.90,264322.89,309395.48,744.65
9.00,264323.43,309396.07,744.66
9.10,264323.96,309396.68,744.67
9.20,264324.50,309397.29,744.67
9.30,264325.04,309397.89,744.69
9.40,264325.58,309398.49,744.70
9.50,264326.11,309399.09,744.72
9.60,264326.65,309399.70,744.75
9.70,264327.17,309400.30,744.77
9.80,264327.69,309400.91,744.79
9.90,264328.22,309401.52,744.80
10.00,264328.75,309402.13,744.82
10.10,264329.28,309402.73,744.85
0.10,264300.00,309370.00,741.21
0.20,264299.98,309370.00,741.20
0.30,264299.96,309370.00,741.20
0.40,264299.93,309370.00,741.18
0.50,264299.89,309370.01,741.16
0.60,264299.84,309370.00,741.12
0.70,264299.79,309369.98,741.07
0.80,264299.73,309369.96,741.01
0.90,264299.66,309369.93,740.94
1.00,264299.58,309369.90,740.87
1.10,264299.48,309369.85,740.77
1.20,264299.38,309369.81,740.65
1.30,264299.27,309369.77,740.52
1.40,264299.15,309369.72,740.38
1.50,264299.03,309369.67,740.22
1.60,264298.89,309369.62,740.06
1.70,264298.74,309369.57,739.88
1.80,264298.57,309369.53,739.69
1.90,264298.37,309369.48,739.49
2.00,264298.17,309369.42,739.28
2.10,264297.95,309369.37,739.06
2.20,264297.72,309369.30,738.83
2.30,264297.49,309369.24,738.58
2.40,264297.25,309369.18,738.34
2.50,264297.01,309369.13,738.10
2.60,264296.76,309369.08,737.86
2.70,264296.50,309369.04,737.62
2.80,264296.23,309369.00,737.37
2.90,264295.96,309368.95,737.10
3.00,264295.68,309368.91,736.82
3.10,264295.41,309368.87,736.53
3.20,264295.12,309368.82,736.22
3.30,264294.83,309368.78,735.91
3.40,264294.52,309368.73,735.60
3.50,264294.20,309368.68,735.30
3.60,264293.87,309368.65,734.98
3.70,264293.55,309368.61,734.67
3.80,264293.23,309368.56,734.34
3.90,264292.92,309368.52,734.00
4.00,264292.62,309368.46,733.65
4.10,264292.31,309368.41,733.31
4.20,264292.00,309368.36,732.96
4.30,264291.68,309368.30,732.61
4.40,264291.36,309368.24,732.25
4.50,264291.02,309368.18,731.88
4.60,264290.69,309368.12,731.50
4.70,264290.35,309368.06,731.11
4.80,264290.01,309368.00,730.71
4.90,264289.65,309367.93,730.30
5.00,264289.27,309367.85,729.90
5.10,264288.88,309367.77,729.49
5.20,264288.48,309367.68,729.08
5.30,264288.08,309367.59,728.66
5.40,264287.68,309367.49,728.25
5.50,264287.26,309367.41,727.84
5.60,264286.84,309367.33,727.43
5.70,264286.41,309367.26,727.03
5.80,264285.98,309367.20,726.64
5.90,264285.54,309367.13,726.24
6.00,264285.09,309367.06,725.85
6.10,264284.63,309367.00,725.47
6.20,264284.16,309366.95,725.09
6.30,264283.69,309366.88,724.70
