time,x,y,z
9.90,264324.00,309411.46,747.71
10.00,264324.55,309412.06,747.78
0.10,264299.98,309370.00,741.20
0.20,264299.94,309370.00,741.18
0.30,264299.86,309370.00,741.14
0.40,264299.76,309370.01,741.08
0.50,264299.62,309370.03,740.99
0.60,264299.46,309370.06,740.87
0.70,264299.27,309370.08,740.73
0.80,264299.04,309370.10,740.57
0.90,264298.79,309370.13,740.39
1.00,264298.50,309370.16,740.19
1.10,264298.19,309370.20,739.98
1.20,264297.85,309370.24,739.74
1.30,264297.50,309370.30,739.50
1.40,264297.13,309370.35,739.24
1.50,264296.72,309370.41,738.97
1.60,264296.28,309370.47,738.68
1.70,264295.82,309370.53,738.37
1.80,264295.33,309370.60,738.06
1.90,264294.81,309370.67,737.72
2.00,264294.27,309370.74,737.35
2.10,264293.71,309370.83,736.97
2.20,264293.13,309370.92,736.57
2.30,264292.52,309371.01,736.16
2.40,264291.89,309371.11,735.74
2.50,264291.23,309371.21,735.30
2.60,264290.54,309371.30,734.85
2.70,264289.82,309371.41,734.38
2.80,264289.08,309371.52,733.90
2.90,264288.31,309371.64,733.41
3.00,264287.52,309371.77,732.90
3.10,264286.72,309371.90,732.40
3.20,264285.92,309372.04,731.89
3.30,264285.12,309372.18,731.38
3.40,264284.31,309372.32,730.87
3.50,264283.52,309372.47,730.36
3.60,264282.72,309372.62,729.85
3.70,264281.92,309372.77,729.35
3.80,264281.11,309372.92,728.84
3.90,264280.32,309373.08,728.33
4.00,264279.52,309373.23,727.82
4.10,264278.73,309373.38,727.32
4.20,264277.93,309373.54,726.81
4.30,264277.13,309373.71,726.30
4.40,264276.34,309373.87,725.79
4.50,264275.54,309374.04,725.29
4.60,264274.74,309374.20,724.78
4.70,264273.95,309374.36,724.28
4.80,264273.16,309374.52,723.77
4.90,264272.36,309374.67,723.26
5.00,264271.56,309374.83,722.75
5.10,264270.76,309374.99,722.24
5.20,264269.96,309375.15,721.74
5.30,264269.16,309375.31,721.23
5.40,264268.37,309375.46,720.73
5.50,264267.57,309375.62,720.22
5.60,264266.78,309375.78,719.71
5.70,264265.98,309375.94,719.20
5.80,264265.18,309376.10,718.69
5.90,264264.38,309376.27,718.19
6.00,264263.59,309376.44,717.68
6.10,264262.80,309376.61,717.18
6.20,264262.00,309376.79,716.67
6.30,264261.21,309376.96,716.16
6.40,264260.41,309377.14,715.65
6.50,264259.63,309377.32,715.15
6.60,264258.83,309377.51,714.64
6.70,264258.04,309377.69,714.14
6.80,264257.24,309377.87,713.63
6.90,264256.45,309378.06,713.13
7.00,264255.66,309378.24,712.62
7.10,264254.87,309378.42,712.11
7.20,264254.07,309378.60,711.60
7.30,264253.28,309378.79,711.09
7.40,264252.48,309378.97,710.58
7.50,264251.69,309379.14,710.07
7.60,264250.89,309379.32,709.56
7.70,264250.10,309379.49,709.06
7.80,264249.30,309379.67,708.55
