episode,return,length,timesteps
0,-2.612738847732544,53,53
1,-7.858921527862549,136,189
2,-42.7596435546875,399,588
3,-16.029260635375977,644,1232
4,-0.018972108140587807,75,1307
5,-0.045208610594272614,150,1457
6,-2.268033981323242,482,1939
7,-0.40198302268981934,645,2584
8,-4.776914119720459,648,3232
9,-6.768614292144775,233,3465
10,-0.05941915139555931,150,3615
11,-4.463183879852295,353,3968
12,-21.19770050048828,814,4782
13,-3.0474095344543457,368,5150
14,-3.3371078968048096,235,5385
15,-7.1177544593811035,248,5633
16,-5.049735069274902,264,5897
17,-3.887965202331543,220,6117
18,-0.05502627417445183,164,6281
19,-2.3670332431793213,238,6519
20,-1.780220866203308,232,6751
21,-4.405316352844238,208,6959
