time,x,y,z
30.70,264271.81,309375.81,723.97
30.80,264271.77,309375.87,723.67
30.90,264271.72,309375.92,723.36
31.00,264271.69,309375.98,723.06
31.10,264271.65,309376.04,722.76
31.20,264271.61,309376.09,722.46
31.30,264271.56,309376.13,722.15
31.40,264271.49,309376.16,721.83
31.50,264271.42,309376.20,721.52
31.60,264271.35,309376.24,721.22
31.70,264271.27,309376.28,720.91
31.80,264271.18,309376.33,720.60
31.90,264271.08,309376.38,720.28
32.00,264271.00,309376.44,719.96
32.10,264270.91,309376.49,719.64
32.20,264270.82,309376.54,719.32
0.10,264300.00,309370.00,741.20
0.20,264300.01,309369.99,741.18
0.30,264300.01,309369.96,741.14
0.40,264300.00,309369.92,741.09
0.50,264299.98,309369.88,741.02
0.60,264299.97,309369.85,740.95
0.70,264299.95,309369.82,740.89
0.80,264299.94,309369.80,740.83
0.90,264299.91,309369.77,740.78
1.00,264299.87,309369.75,740.73
1.10,264299.82,309369.74,740.69
1.20,264299.77,309369.73,740.64
1.30,264299.72,309369.72,740.59
1.40,264299.68,309369.72,740.55
1.50,264299.63,309369.73,740.51
1.60,264299.58,309369.74,740.47
1.70,264299.52,309369.76,740.43
1.80,264299.46,309369.78,740.39
1.90,264299.41,309369.81,740.35
2.00,264299.36,309369.85,740.31
2.10,264299.31,309369.88,740.26
2.20,264299.24,309369.91,740.18
2.30,264299.18,309369.96,740.09
2.40,264299.12,309370.01,739.99
2.50,264299.08,309370.06,739.89
2.60,264299.04,309370.11,739.80
2.70,264298.99,309370.15,739.72
2.80,264298.93,309370.19,739.63
2.90,264298.88,309370.22,739.54
3.00,264298.81,309370.24,739.45
3.10,264298.74,309370.27,739.35
3.20,264298.66,309370.30,739.26
3.30,264298.57,309370.33,739.17
3.40,264298.48,309370.35,739.09
3.50,264298.41,309370.37,739.02
3.60,264298.34,309370.38,738.95
3.70,264298.28,309370.38,738.87
3.80,264298.22,309370.38,738.78
3.90,264298.17,309370.39,738.68
4.00,264298.12,309370.42,738.58
4.10,264298.06,309370.44,738.47
4.20,264298.00,309370.47,738.36
4.30,264297.94,309370.51,738.26
4.40,264297.89,309370.55,738.15
4.50,264297.83,309370.61,738.05
4.60,264297.79,309370.67,737.94
4.70,264297.74,309370.74,737.82
4.80,264297.69,309370.81,737.71
4.90,264297.63,309370.89,737.60
5.00,264297.57,309370.98,737.49
5.10,264297.49,309371.08,737.39
5.20,264297.40,309371.20,737.29
5.30,264297.30,309371.32,737.19
5.40,264297.19,309371.44,737.10
5.50,264297.08,309371.56,737.00
5.60,264296.96,309371.66,736.89
5.70,264296.84,309371.77,736.78
5.80,264296.71,309371.88,736.68
5.90,264296.59,309371.98,736.57
6.00,264296.46,309372.07,736.46
6.10,264296.33,309372.15,736.35
6.20,264296.19,309372.22,736.23
6.30,264296.05,309372.29,736.12
6.40,264295.90,309372.37,736.01
6.50,264295.75,309372.44,735.90
6.60,264295.58,309372.51,735.78
6.70,264295.40,309372.59,735.65
6.80,264295.21,309372.69,735.52
6.90,264295.02,309372.77,735.38
7.00,264294.82,309372.86,735.25
7.10,264294.64,309372.96,735.15
