episode,return,length,timesteps
0,-11.229538917541504,50,50
1,3.809326648712158,146,196
2,13.53884506225586,399,595
3,-0.0071616764180362225,50,645
4,-0.002669465960934758,50,695
5,-0.007569826208055019,50,745
6,-0.003579385345801711,50,795
7,0.012811793945729733,51,846
8,-0.0031710518524050713,50,896
9,-0.0022092177532613277,50,946
10,0.23329634964466095,69,1015
11,-0.00044802474440075457,50,1065
12,-0.008335276506841183,50,1115
13,20.67290496826172,443,1558
14,1.1778243780136108,159,1717
15,1.3596471548080444,220,1937
16,-0.001984476810321212,50,1987
17,-0.0005309479311108589,50,2037
18,8.087383270263672,477,2514
19,2.4556262493133545,266,2780
20,-0.0009225642425008118,50,2830
21,-0.0008187030907720327,50,2880
22,-0.0003638270136434585,50,2930
23,-0.08051252365112305,200,3130
24,0.605103075504303,74,3204
25,2.184812307357788,206,3410
26,-0.0006885633920319378,50,3460
27,4.757473468780518,243,3703
28,18.611125946044922,537,4240
29,-0.0004351875395514071,50,4290
30,-0.0001715066027827561,50,4340
31,0.6192333698272705,78,4418
32,-0.001099016284570098,50,4468
33,0.6425260305404663,94,4562
34,-0.9079744219779968,85,4647
35,-0.0006392936920747161,50,4697
36,-0.0006423068116419017,50,4747
37,-0.0005415909108705819,50,4797
38,0.1995411515235901,147,4944
39,1.6660559177398682,178,5122
40,0.8535031676292419,142,5264
41,-0.0003064913325943053,50,5314
42,25.61713218688965,432,5746
43,-0.00024729216238483787,50,5796
44,-0.0006108979578129947,50,5846
45,0.3211950659751892,64,5910
46,0.889008104801178,322,6232
47,5.397853851318359,495,6727
48,4.216592788696289,334,7061
49,-0.001200936851091683,50,7111
50,15.857282638549805,500,7611
51,0.27539947628974915,55,7666
52,0.5326915979385376,195,7861
53,0.3756915330886841,109,7970
54,3.7281174659729004,353,8323
55,-0.00014377880143001676,50,8373
56,9.4395751953125,402,8775
57,0.02877470850944519,186,8961
58,-0.15016818046569824,69,9030
59,1.6508386135101318,461,9491
60,-0.0007105917320586741,50,9541
61,0.27823400497436523,54,9595
62,7.9462690353393555,476,10071
