episode,return,length,timesteps
0,51.5884895324707,445,445
1,-1.3316407887487003e-07,1,446
2,-1.0660872362677765e-07,1,447
3,0.1454787701368332,51,498
4,-8.800384421192575e-08,1,499
5,0.6142885088920593,74,573
6,0.6769585013389587,27,600
7,-7.735594209634655e-08,1,601
8,0.5243814587593079,1,602
9,-2.384096653429424e-08,1,603
10,-1.8229162890293082e-07,1,604
11,-4.1417848706259974e-08,1,605
12,0.5808699131011963,1,606
13,-4.4963485379412305e-08,1,607
14,0.5805313587188721,1,608
15,0.5806767344474792,1,609
16,0.5808228850364685,1,610
17,-1.9691624331130697e-08,1,611
18,0.5805002450942993,1,612
19,0.5806497931480408,1,613
20,0.5808000564575195,1,614
21,0.5809508562088013,1,615
22,0.5811023116111755,1,616
23,-1.388359578413656e-07,1,617
24,-6.703000821062233e-09,1,618
25,-2.6563162336401547e-08,1,619
26,0.5799088478088379,1,620
27,0.5800672173500061,1,621
28,0.5802260637283325,1,622
29,0.5803858041763306,1,623
30,0.5805460810661316,1,624
31,0.5807068347930908,1,625
32,0.5808683037757874,1,626
33,0.5810303092002869,1,627
34,0.5811926126480103,1,628
35,0.5813559889793396,1,629
36,0.5815196633338928,1,630
37,0.5816838145256042,1,631
38,0.5818488001823425,1,632
39,0.5820140838623047,1,633
40,0.5821800231933594,1,634
41,0.5823465585708618,1,635
42,0.5825135707855225,1,636
43,-4.9416357228437846e-08,1,637
44,0.5822719931602478,1,638
45,0.5824416279792786,1,639
46,0.5826117992401123,1,640
47,-1.1989652648480842e-07,1,641
48,0.58238285779953,1,642
49,0.5825554132461548,1,643
