episode,return,length,timesteps
0,72.28579711914062,514,514
1,10.59757137298584,383,897
2,0.1453130841255188,201,1098
3,0.4380785822868347,97,1195
4,0.6854152679443359,202,1397
5,10.115854263305664,577,1974
6,-0.2066095769405365,90,2064
7,10.015685081481934,500,2564
8,23.497106552124023,714,3278
9,15.999929428100586,952,4230
10,0.27283087372779846,255,4485
11,5.665561199188232,612,5097
12,10.85599422454834,775,5872
13,5.214815616607666,505,6377
14,4.1284613609313965,289,6666
15,4.363377571105957,320,6986
16,3.9701035022735596,315,7301
17,4.10546875,253,7554
18,4.743491172790527,317,7871
19,4.135407447814941,316,8187
20,5.091532230377197,271,8458
21,4.231449127197266,269,8727
22,4.3576459884643555,298,9025
23,4.400333881378174,240,9265
24,4.414909839630127,284,9549
25,4.62552547454834,286,9835
26,5.086944103240967,322,10157
